subjid,isExcluded_Rp,isExcluded_Ts,AN_val_propOm_Rp,AN_inval_propOm_Rp,AN_val_propHit_Rp,AN_inval_propHit_Rp,AN_val_propFP_Rp,AN_inval_propFP_Rp,AN_val_propHit_Rp_1,AN_inval_propHit_Rp_1,HA_val_propOm_Rp,HA_inval_propOm_Rp,HA_val_propHit_Rp,HA_inval_propHit_Rp,HA_val_propFP_Rp,HA_inval_propFP_Rp,HA_val_propHit_Rp_1,HA_inval_propHit_Rp_1
VP01,yes,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VP02,no,no,0,0,1,1,0,0,1,1,0.0125,0,0.9875,1,0,0,0.9875,1
VP03,yes,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VP04,no,no,0.025974,0.052632,0.97403,0.94737,0,0,0.97403,0.94737,0.037975,0,0.96203,1,0,0,0.96203,1
VP05,no,yes,0,0,1,1,0,0,1,1,0.044118,0.18182,0.95588,0.81818,0,0,0.95588,0.81818
VP06,no,no,0,0,1,1,0,0,1,1,0,0,0.94805,1,0.051948,0,0.94805,1
VP07,no,no,0.031746,0,0.95238,1,0.015873,0,0.95238,1,0.048387,0,0.93548,1,0.016129,0,0.93548,1
VP08,no,no,0.064935,0.11111,0.92208,0.88889,0.012987,0,0.92208,0.88889,0.055556,0.05,0.94444,0.95,0,0,0.94444,0.95
VP09,no,no,0,0,1,1,0,0,1,1,0.064935,0,0.93506,1,0,0,0.93506,1
VP10,no,no,0.013514,0,0.98649,1,0,0,0.98649,1,0.064935,0,0.93506,1,0,0,0.93506,1
VP11,yes,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VP12,no,no,0,0.052632,1,0.94737,0,0,1,0.94737,0.063291,0,0.93671,1,0,0,0.93671,1
VP13,no,no,0,0,1,1,0,0,1,1,0.014706,0.0625,0.98529,0.9375,0,0,0.98529,0.9375
VP14,yes,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VP15,no,no,0.05,0,0.95,1,0,0,0.95,1,0.0125,0.05,0.975,0.95,0.0125,0,0.975,0.95
VP16,no,no,0.015385,0,0.98462,1,0,0,0.98462,1,0,0,1,1,0,0,1,1
VP17,no,no,0,0,1,0.94118,0,0.058824,1,0.94118,0,0,1,1,0,0,1,1
VP18,no,no,0.013699,0,0.9863,0.94737,0,0.052632,0.9863,0.94737,0.054054,0,0.90541,0.88889,0.040541,0.11111,0.90541,0.88889
VP19,no,no,0.013333,0,0.97333,1,0.013333,0,0.97333,1,0.013333,0,0.98667,0.94118,0,0.058824,0.98667,0.94118
VP20,no,no,0,0,1,1,0,0,1,1,0.092593,0.076923,0.90741,0.92308,0,0,0.90741,0.92308
