subjid,isExcluded_Rp,isExcluded_Ts,AN_val_propOm_Rp,AN_inval_propOm_Rp,AN_val_propHit_Rp,AN_inval_propHit_Rp,AN_val_propFP_Rp,AN_inval_propFP_Rp,AN_val_propOl_Rp,AN_inval_propOl_Rp,AN_val_propErrors_Rp,AN_inval_propErrors_Rp,HA_val_propOm_Rp,HA_inval_propOm_Rp,HA_val_propHit_Rp,HA_inval_propHit_Rp,HA_val_propFP_Rp,HA_inval_propFP_Rp,HA_val_propOl_Rp,HA_inval_propOl_Rp,HA_val_propErrors_Rp,HA_inval_propErrors_Rp,nOmTrials_Rp,nHitTrials_Rp,nFPTrials_Rp,nOlTrials_Rp,nErrTrials_Rp,propErrors_Rp
VP01,yes,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VP02,no,no,0,0,1,1,0,0,0.0625,0,0,0,0.0125,0,0.9875,1,0,0,0.05,0.05,0,0,1,199,0,10,0,0
VP03,yes,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VP04,no,no,0.025974,0.052632,0.97403,0.94737,0,0,0.064935,0,0.0375,0.05,0.037975,0,0.96203,1,0,0,0.025316,0.05,0.0125,0,6,189,0,8,5,0.025
VP05,no,yes,0,0,1,1,0,0,0.029412,0.055556,0.15,0.1,0.044118,0.18182,0.95588,0.81818,0,0,0.058824,0.090909,0.15,0.45,5,160,0,8,35,0.175
VP06,no,no,0,0,1,1,0,0,0.054795,0.052632,0.0875,0.05,0,0,0.94805,1,0.051948,0,0.038961,0.1,0.0375,0,0,185,4,10,11,0.055
VP07,no,no,0.031746,0,0.95238,1,0.015873,0,0.031746,0,0.2125,0.35,0.048387,0,0.93548,1,0.016129,0,0.016129,0,0.225,0.45,5,142,2,3,51,0.255
VP08,no,no,0.064935,0.11111,0.92208,0.88889,0.012987,0,0.038961,0.11111,0.0375,0.1,0.055556,0.05,0.94444,0.95,0,0,0.013889,0,0.1,0,12,174,1,6,13,0.065
VP09,no,no,0,0,1,1,0,0,0.051948,0.05,0.0375,0,0.064935,0,0.93506,1,0,0,0.064935,0.05,0.0375,0,5,189,0,11,6,0.03
VP10,no,no,0.013514,0,0.98649,1,0,0,0,0,0.075,0,0.064935,0,0.93506,1,0,0,0.012987,0,0.0375,0.05,6,184,0,1,10,0.05
