subjid,isExcluded_Rp,isExcluded_Ts,state_mood_Rp,state_mood_Ts,state_awake_Rp,state_awake_Ts,state_tired_Rp,state_tired_Ts,state_aroused_Rp,state_aroused_Ts,RP_strat1,TS_l_strat1,RP_strat2,TS_l_strat2,RP_strat3,TS_l_strat3,RP_strat4,TS_l_strat4,RP_stratC,TS_l_stratC,RP_stratCtxt,TS_l_stratCtxt,RP_gefuehl,TS_l_gefuehl,RP_freu,TS_l_freu,RP_aerg,TS_l_aerg
VP01,yes,yes,3,2,3,1,3,4,3,3,0,1,1,0,0,0,0,1,0,"Nach dem 3 mal kam immer der jeweils andere Befehl. Am höchsten war die Wahrscheinlichkeit eines Wechsels nach zwei Wiederholungen. Keine sichere Methode, aber intuitiv und daher schwer zu unterdrücken.",0,"Zunächst hatte ich Angst Fehler zu machen. Nach der Eingewöhnung kam ein Jucken hinzu, bei dem ich mir nicht sicher war, ob ich es kratzen durfte. Dann traten Müdigkeitserscheinungen auf, vermutlich aufgrund der vielen Wiederholungen.","Obwohl die Aufgabe abwechslungsreicher als die erste war, trat der Ermüdungseffekt verstärkt auf. Zu Beginn war es schwierig den Gesichtsausdruck nicht direkt zu zeigen.",3,5,5,3,1
VP02,no,no,3,2,2,3,2,2,5,5,1,0,0,1,0,0,0,0,0,0,Beim Lächeln bekamm ich eine bessere Laune.,0,2,"Ich müsste weniger aufpassen was falsches zu machen, alles andere gleich wie bei der ersten Aufgabe.",3,2,1,3
VP03,yes,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VP04,no,no,4,4,4,3,4,2,3,3,0,0,1,0,1,0,0,1,0,"Ich habe versucht an Menschen zu denken, die in mir Ärger oder Freude auslösen und sie jeweils einem Buchstaben zugeordnet.",0,"Am Anfang hat es sich sehr merkwürdig angefühlt und ich fand es schwierig die Emotionen auf Knopfdruck abzurufen. Mit der Zeit wurde es besser, allerdings wurde man auch stätig müder. Es war deutlich einfacher für mich, schnell zu lächeln und Freude zu zeigen.",Die zweite Aufgabe war abwechslungsreicher als die erste. Allerdings wurde ich zum Ende hin sehr müde und es fiel schwer die Konzentration aufrecht zuhalten.,2,4,4,4,1
VP05,no,yes,1,2,2,3,3,2,4,4,0,0,0,0,1,0,0,0,0,1,"Es hat sich merkwürdig angefühlt, direkt nach dem gefragten Emotionsausdruck wieder zu einem neutralen Ausdruck zurückzukehren, gerade nach einem freudigen Ausdruck. Außerdem haben sich die Gesichtsausdrücke irgendwann nicht mehr ganz so authentisch angefühlt.","Ich habe M und W mit Wörtern assoziiert, die mit Ärger oder Freude zu tun haben",2,"Die Gesichtsausdrücke kamen so schnell hintereinander, dass sie sich nicht mehr wirklich echt angefühlt haben.",4,3,1,4
VP06,no,no,1,3,2,3,4,3,5,5,0,0,0,1,0,0,1,0,ich habe versucht ein muster zu finden und mich teilweise gefragt ob ich auf eine bestimmt antwort habituiert werde,0,"am anfang sehr einfach, aber zum ende hin immer quälender weil die konzentration nachlässt und es anstrengend ist auf einen bildschirm zu gucken",0,5,zu beginn einfacher. da w wie zusammengezogene augenbrauen ist undm in der mitte vom M ist ein V was wie ein lächeln aussieht. zum ende hatrte ich ellerdings kaum noch konzentration,2,5,1,5
VP07,no,no,3,3,3,1,4,5,5,5,0,1,0,0,1,0,0,0,0,0,0,Sehr langweilig,Sehr anstrengend. Ich musste mich stark konzentrieren um die richtigen Gesichtsausdrücke darzustellen.,5,3,5,3,2
VP08,no,no,2,2,3,2,3,4,4,4,1,0,0,1,0,1,1,0,0,0,0,"Am Anfang habe ich versucht möglichst echte Emotionen zu erzeugen, am Ende war es eher automatisch.","Ich musste mich mehr konzentrieren, dennoch fiel es mir leichter meine Aufmerksamkeit aufrecht zuerhalten.",3,3,3,3,1
VP09,no,no,2,2,1,2,5,4,4,3,0,0,1,0,0,0,0,0,0,1,"Etwas befremdlich, da gerade der starke Ausdruck eines ärgerlichen Gesichtsausdrucks im Alltag -immerhin bei mir- nicht so häufig vorkommt-",Ich habe mir für M Mario und für W Wario (aus Supermario) vorgestellt und mich immer in die hineinversetzt. Mario ist ja immer super fröhlich und Wario ist der Grummel,2,"So ähnlich wie die erste Aufgabe. Nach einer Weile wieder etwas ermüdend - aber tatsächlich ein wenig einfacher als die erste Aufgabe, da man sich hier nicht so sehr auf das Unerwartete konzentrieren musste.",3,2,1,2
VP10,no,no,2,2,2,1,4,5,4,4,0,0,0,0,0,0,0,1,1,"Ich habe versucht, mir eine bestimmte, Freude oder Ärger auslösende Situation vorzustellen.","Ich habe mir innerlich eine Geschichte mit Ereignissen, die Freude und Ärger auslösen klnnen, erzählt und dann darauf mit Freude oder Ärger reagiert, je nachdem, ob sie eingtroffen sind, oder nicht.","Es war ungewohnt, besonders Ärger auszudrücken. Mit der Zeit wurde es regelrecht anstrengens, was dann aber wiederum half, Ärger zu zeigen.","Die zweite Aufgabe fiel mir leichter als die erste. Die Aufgabe fühlte sich nicht mehr so fremd an. Mit der Vorbereitungszeit war eis einfacher, Freude oder Ärger auszudrücken. Auch folgten die Emotionen nicht mehr so schnell aufeinander, was es weniger anstrengend gestaltete.",2,2,4,2,1
