trigger,category,rt,amplitude
52,0,1.03125,104.916462096906
51,69,NaN,2942.66810155161
51,0,0.96875,2501.69198591609
52,60,NaN,65.8886545082849
52,0,1.046875,42.6109896454372
51,0,1.0859375,2660.53675429404
62,60,NaN,49.860417910329
61,0,0.8125,2517.38343623833
52,0,0.8125,64.0389233691174
52,0,1.1796875,49.8227737802378
61,0,0.71875,2955.08175061208
51,0,1.0390625,1653.9469052
52,0,0.609375,97.8884506075379
62,60,NaN,57.3011345482138
51,69,NaN,2372.63041427578
51,0,0.8671875,2237.45450163524
52,0,0.609375,44.8962967476712
51,0,0.734375,2524.61280730106
51,69,NaN,1892.93382044748
51,0,0.8203125,2336.49847327055
51,0,0.7421875,2096.21619217419
51,0,0.65625,1913.48781929212
52,0,0.7734375,72.9557384024915
52,99,NaN,31.7982806789511
51,0,0.7421875,2770.60855399465
62,0,0.8046875,68.0966545476313
52,0,0.6328125,44.062876139956
52,60,NaN,78.2461868177916
51,0,1.078125,2747.25592230431
52,0,0.65625,67.3802954296607
62,0,0.5546875,43.5655455812031
61,0,0.5859375,2841.93575908296
51,0,0.8359375,2173.44678224135
62,91,NaN,63.9552274844525
61,0,0.640625,2488.03402623182
52,0,0.859375,50.7396680298773
52,0,0.65625,45.9224492741845
51,0,0.6953125,2525.975888071
52,0,0.453125,45.8387873924598
52,0,0.7734375,58.7314146134222
61,0,0.578125,2755.90862908718
52,0,0.671875,71.9386658129252
51,0,0.6953125,2420.86350476573
51,0,0.7109375,1876.04053564212
51,0,0.7421875,1773.57000102923
52,0,0.859375,39.3652078288447
62,0,0.8671875,79.0560171161811
52,0,0.3984375,40.5521296001392
61,0,0.65625,2709.97513082822
52,0,0.5859375,64.2454777879658
61,0,0.6328125,2498.9887802991
52,0,0.8828125,51.9182015609291
62,69,NaN,42.8833305282619
51,0,0.8203125,2617.85058443816
51,99,NaN,2237.11122797046
51,0,0.6796875,2030.48332562613
51,0,0.6328125,2142.17447317399
51,0,1.0546875,1999.14335912211
52,0,0.4609375,49.3806412586848
52,60,NaN,42.3970365180859
52,0,0.875,58.4182460894071
51,0,0.6328125,3237.56764870762
62,0,0.390625,44.487833244438
51,69,NaN,2547.18778422004
61,0,0.703125,2187.82628203935
61,69,NaN,2158.85331294357
51,0,0.8125,1852.92464406806
51,0,0.6875,1808.11735532755
51,0,0.90625,1450.47366252018
52,60,NaN,71.6014654469448
