trigger,category,rt,amplitude
241,0,0.484375,2677.14238262503
152,0,0.0703125,56.5660510405273
251,0,0.34375,2088.09056666427
153,0,0.3125,37.486992590384
141,0,0.421875,52.7191075576923
252,0,0.3515625,2271.98531040383
151,0,0.5390625,49.3520316468181
253,0,0.375,2075.03835920623
241,0,0.3046875,1570.65901630322
152,99,NaN,21.1594255571787
141,50,NaN,12.935120981475
252,0,0.515625,1872.95103701371
241,0,0.4453125,1368.89442095831
152,59,NaN,15.5437394786516
141,0,0.484375,55.7956973472964
142,60,NaN,20.7514768620843
253,0,0.359375,2123.45029577671
241,60,NaN,1227.79913166344
242,69,NaN,1063.54036955163
153,0,1.375,37.18533065282
141,0,0.6171875,36.0213206261749
142,60,NaN,35.7567254591714
253,0,0.5546875,2195.94220865738
241,0,0.703125,2908.12991665563
242,0,0.4296875,2581.83105997438
153,0,0.2890625,33.9716197457212
141,0,0.3828125,87.9144365981658
142,0,0.5,24.7201327346151
253,0,0.3046875,1869.84478651582
241,0,0.375,1451.79559766044
152,0,0.3671875,51.8802650590019
141,0,0.3515625,53.0261244501214
142,0,0.390625,39.749683963636
253,0,0.4140625,2139.76013200441
151,0,0.421875,35.0299348732355
141,59,NaN,15.5436642310088
252,0,0.28125,1886.04846102514
241,0,0.3828125,1177.0036009839
242,0,0.5859375,1374.51063468072
153,0,0.421875,55.5813012239963
141,0,0.53125,42.6535232617822
252,0,0.4296875,1712.76201973489
151,0,0.4765625,66.6783095588342
253,0,0.28125,1492.48832693359
153,0,0.640625,36.9991758452573
141,0,0.7578125,19.5803834554358
142,0,2,35.1595018171698
253,0,0.296875,1825.51735354497
241,0,0.4765625,1100.65457147842
242,0,0.453125,1190.06287120256
153,0,0.5625,21.4333554238667
141,0,0.53125,32.2747445576931
142,0,0.8203125,37.8943772991127
253,0,0.5390625,1577.96830563404
241,0,0.3671875,655.407757871781
242,0,0.4140625,856.029198548726
153,59,NaN,12.0489626611793
141,0,0.859375,29.1714549901312
252,0,0.3828125,1437.44500283882
241,0,0.3671875,635.523704704617
152,59,NaN,11.8621924843463
251,0,0.3828125,1251.28671491533
153,0,0.953125,18.9933925885592
253,91,NaN,981.480370711447
241,0,0.4140625,596.472241578855
242,0,0.5234375,847.857611026729
153,0,1.046875,21.2099141414896
141,0,0.8203125,32.1824469436554
142,0,0.40625,81.1035625727949
253,0,0.3359375,1415.49142078072
241,0,0.4375,787.697937547984
242,99,NaN,512.359208041565
153,0,0.7109375,18.8087240756952
141,0,0.609375,28.5139212152351
252,69,NaN,1177.6445000309
241,0,0.4453125,613.304527292638
242,0,0.4375,662.402765893675
153,99,NaN,34.2503978430568
141,0,0.8828125,32.6649383387265
252,0,0.703125,1154.20556407193
151,99,NaN,22.9770857230748
141,0,0.5546875,60.947542633284
252,0,0.453125,1192.1427118209
241,0,0.4765625,600.097966524887
242,0,0.375,598.672843390403
153,59,NaN,14.6906501385415
141,0,1.4453125,25.3670854953855
142,0,1.5078125,47.4827271324649
253,0,0.4140625,1161.32449205121
241,0,0.5625,473.435724029692
242,69,NaN,474.40097784279
153,99,NaN,33.6294372113484
141,59,NaN,14.650861039848
252,0,0.3671875,974.742025429302
151,0,0.765625,19.5722492049471
141,0,0.8671875,19.3779139290314
142,0,0.515625,52.8354573927756
253,0,0.3359375,1416.64434584758
241,0,0.5703125,743.1072636306
242,0,0.421875,458.366804543234
153,0,0.5,22.5022617007989
251,69,NaN,815.615261184213
241,0,0.453125,485.593714753658
152,0,1.71875,22.6310049081093
251,0,0.578125,845.174475747726
153,99,NaN,25.034781099924
253,99,NaN,920.142333433408
241,0,0.6171875,473.301704030815
152,59,NaN,11.4350174499883
251,0,0.5,735.378159720007
153,59,NaN,15.7388206183663
141,50,NaN,12.4429119433609
142,59,NaN,13.6131488707012
253,0,0.46875,1058.20653010206
241,0,0.4921875,468.405351112979
242,0,0.46875,373.612048427641
153,99,NaN,19.362321772141
141,0,0.4375,50.701495936428
142,0,0.7109375,25.6182705690849
253,99,NaN,1176.20086074909
241,99,NaN,342.337345167175
242,0,0.40625,713.742550835255
153,0,0.5546875,18.6746516242665
141,0,1.015625,42.1143214545628
252,0,0.5234375,870.647418956404
151,60,NaN,34.423037187744
141,59,NaN,7.5642081522598
142,99,NaN,18.4136965116413
253,0,0.421875,1109.69316682832
241,0,0.3984375,501.306623070215
152,59,NaN,14.7867593835819
251,0,0.4296875,602.664505270239
