subjid,isExcluded_Rp,isExcluded_Ts,AN_val_meanRT_Rp,AN_inval_meanRT_Rp,AN_val_sdRT_Rp,AN_inval_sdRT_Rp,AN_val_nErrorTrials_Rp,AN_inval_nErrorTrials_Rp,AN_val_nFpTrials_Rp,AN_inval_nFpTrials_Rp,AN_val_nOl1Trials_Rp,AN_inval_nOl1Trials_Rp,AN_val_nOl2Trials_Rp,AN_inval_nOl2Trials_Rp,AN_val_nOmissionTrials_Rp,AN_inval_nOmissionTrials_Rp,AN_val_nHitTrials_Rp,AN_inval_nHitTrials_Rp,AN_val_nCleanTrials_Rp,AN_inval_nCleanTrials_Rp,AN_val_MeanMaxAmp_Rp,AN_inval_MeanMaxAmp_Rp,AN_val_SdMaxAmp_Rp,AN_inval_SdMaxAmp_Rp,HA_val_meanRT_Rp,HA_inval_meanRT_Rp,HA_val_sdRT_Rp,HA_inval_sdRT_Rp,HA_val_nErrorTrials_Rp,HA_inval_nErrorTrials_Rp,HA_val_nFpTrials_Rp,HA_inval_nFpTrials_Rp,HA_val_nOl1Trials_Rp,HA_inval_nOl1Trials_Rp,HA_val_nOl2Trials_Rp,HA_inval_nOl2Trials_Rp,HA_val_nOmissionTrials_Rp,HA_inval_nOmissionTrials_Rp,HA_val_nHitTrials_Rp,HA_inval_nHitTrials_Rp,HA_val_nCleanTrials_Rp,HA_inval_nCleanTrials_Rp,HA_val_MeanMaxAmp_Rp,HA_inval_MeanMaxAmp_Rp,HA_val_SdMaxAmp_Rp,HA_inval_SdMaxAmp_Rp
VP01,yes,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VP02,no,no,0.61436,0.68867,0.17598,0.11591,0,0,0,0,5,0,0,0,0,0,80,20,80,20,7640.6171,7889.97,2463.1961,1879.8521,0.62051,0.80703,0.15763,0.088972,0,0,0,0,5,1,0,0,0,0,80,20,80,20,651.6403,704.8364,126.2909,144.9376
VP03,yes,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VP04,no,no,0.77713,0.76649,0.31957,0.24047,4,1,1,0,5,0,0,0,1,1,74,18,76,19,1745.3474,2142.1485,922.6851,707.3883,0.71489,0.90664,0.21986,0.20433,3,0,0,0,1,0,1,1,0,0,77,20,77,20,353.7681,359.4755,109.9372,86.4639
VP05,no,yes,0.78344,0.75,0.13474,0.19539,55,15,0,0,0,0,0,0,0,0,25,5,25,5,3981.5202,3658.9039,1506.7412,1230.0107,0.43438,0.59844,0.18122,0.12507,60,15,0,0,1,0,0,0,0,0,20,5,20,5,92.6263,131.6088,34.3878,62.143
VP06,no,no,0.53607,0.62109,0.12817,0.17357,33,10,0,0,2,1,0,0,0,0,47,10,47,10,1503.4337,1406.128,653.1501,459.5993,0.30827,0.5071,0.12877,0.15871,32,9,0,0,2,1,0,0,0,0,48,11,48,11,131.7296,118.2675,52.2882,25.4123
VP07,no,no,0.98227,1.2005,0.19211,0.30457,54,14,0,0,0,0,0,0,0,0,26,6,26,6,1494.6101,1692.244,547.73,755.8647,0.61637,0.56094,0.38969,0.36886,61,15,0,0,0,0,0,0,0,0,19,5,19,5,74.6194,81.7462,30.551,29.7157
VP08,no,no,0.8018,0.96804,0.26604,0.51049,30,7,1,1,2,0,0,0,3,1,46,11,50,13,2121.9229,1933.2207,1458.0271,1490.0469,0.42272,0.47331,0.19222,0.2317,34,8,0,0,1,0,0,0,0,0,46,12,46,12,143.5105,141.7029,56.4717,55.9259
VP09,no,no,0.66134,0.81824,0.2193,0.1733,14,4,0,0,3,0,0,0,0,0,66,16,66,16,3548.215,3691.541,1486.4019,1978.1069,0.85592,1.0548,0.43074,0.37633,21,2,0,0,0,0,0,0,0,0,59,18,59,18,198.7752,225.9366,66.6966,63.9893
VP10,no,no,0.63327,0.83426,0.13328,0.21534,28,6,0,0,2,1,0,0,1,0,51,14,52,14,2174.6024,2226.6424,434.4146,503.3342,0.39781,0.43149,0.21259,0.099342,18,7,0,0,5,0,0,0,0,0,62,13,62,13,104.3492,125.6378,40.1717,32.8827
VP11,yes,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VP12,no,no,0.70823,0.74072,0.19474,0.21929,2,3,0,0,3,1,0,0,0,1,78,16,78,17,2041.9539,1911.746,513.2192,517.7002,0.53063,0.65296,0.21841,0.2157,4,1,0,0,2,1,2,1,1,0,75,19,76,19,124.9192,142.8838,37.5435,37.1071
VP13,no,no,0.36268,0.50781,0.11529,0.064739,54,13,0,0,3,0,0,0,0,0,26,7,26,7,2111.7198,1924.79,528.6455,640.4223,0.23405,0.4707,0.05488,0.056831,56,16,0,0,1,0,0,0,0,0,24,4,24,4,84.5187,84.6653,22.8226,35.7782
VP14,yes,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VP15,no,no,0.63991,0.71258,0.20878,0.14783,0,1,2,0,3,0,0,0,2,0,76,19,80,19,9518.2806,8946.7906,6315.3691,3463.0503,0.49432,0.69243,0.20496,0.15216,2,0,1,0,3,0,0,0,0,1,77,19,78,20,357.4008,380.1439,135.477,156.8773
VP16,no,no,0.71441,0.77232,0.19994,0.36698,62,13,0,0,0,1,0,0,0,0,18,7,18,7,2503.6591,2533.8597,615.7044,431.3032,0.50206,0.63411,0.28383,0.23136,61,14,0,0,0,0,0,0,0,0,19,6,19,6,57.0581,54.4109,18.1486,13.235
VP17,no,no,0.8599,1.0164,0.24737,0.44974,35,10,0,0,2,1,0,0,0,0,45,10,45,10,2117.9164,2090.8222,547.4309,803.0598,0.38322,0.57572,0.16846,0.15012,42,7,0,0,1,0,0,1,0,0,38,13,38,13,67.4656,72.3733,19.0181,12.7332
VP18,no,no,0.58868,0.70573,0.20903,0.20835,22,5,1,0,2,0,0,0,0,0,57,15,58,15,5325.4497,5204.9017,1146.1374,1470.066,0.45057,0.73793,0.30294,0.3024,19,8,1,1,3,0,0,1,2,0,58,11,61,12,175.2785,170.3932,81.7314,75.3747
VP19,no,no,0.88343,1.2891,0.31366,0.54977,29,12,0,0,4,0,0,0,0,0,51,8,51,8,2082.8631,1692.1349,1307.5056,1060.1386,0.55564,0.60764,0.18203,0.24142,39,11,0,0,0,0,2,1,0,0,41,9,41,9,92.2802,94.9215,30.0144,39.2504
VP20,no,no,0.71394,0.71094,0.14842,0.011049,67,18,0,0,0,0,0,0,0,0,13,2,13,2,2107.2159,2472.0491,366.7942,379.9924,0.51743,0.44336,0.2782,0.2769,67,16,0,0,0,0,0,0,0,0,13,4,13,4,86.3959,93.0908,36.9282,77.316
VP21,no,no,0.79274,0.78125,0.14725,0.21376,63,16,0,0,0,0,1,0,0,0,17,4,17,4,5300.5773,5273.8284,1167.1752,1319.5218,0.43625,0.58371,0.2595,0.18209,55,13,0,0,1,0,0,0,0,0,25,7,25,7,86.5719,82.6804,31.3873,30.3964
VP22,no,no,0.72079,0.65365,0.33459,0.038538,57,17,0,0,1,0,0,0,0,0,23,3,23,3,3520.5116,3544.2174,1151.1133,1212.8704,0.45117,0.69531,0.18924,0.30635,64,14,0,0,0,0,1,0,0,0,16,6,16,6,70.3365,74.4417,22.5467,25.3735
VP23,no,no,0.65039,NaN,0.15249,NaN,63,20,1,0,0,0,1,0,0,0,16,0,17,0,1376.9774,1487.138,847.3629,708.2033,0.20573,0.45508,0.16579,0.1087,77,16,0,0,0,0,0,0,0,0,3,4,3,4,67.1017,74.7637,27.6687,27.6713
VP24,no,no,0.75956,0.83086,0.18947,0.26485,2,0,2,0,1,1,1,0,0,0,76,20,78,20,1944.8043,2166.8764,459.3998,338.5594,0.63421,1.0243,0.21958,0.41057,1,0,1,1,4,1,2,0,0,0,78,19,79,20,290.3592,272.9798,157.2866,196.537
VP25,no,no,0.7074,0.79427,0.2896,0.37801,38,7,0,1,2,1,0,0,0,0,42,12,42,13,1021.6583,1013.0613,493.036,570.1073,0.32918,0.45241,0.14936,0.11648,43,9,0,0,1,0,0,0,0,0,37,11,37,11,113.0848,117.0129,49.2362,48.2177
