subjid,isExcluded_Rp,isExcluded_Ts,AN_val_meanRT_Rp,AN_inval_meanRT_Rp,AN_val_sdRT_Rp,AN_inval_sdRT_Rp,AN_val_nErrorTrials_Rp,AN_inval_nErrorTrials_Rp,AN_val_nFpTrials_Rp,AN_inval_nFpTrials_Rp,AN_val_nOl1Trials_Rp,AN_inval_nOl1Trials_Rp,AN_val_nOl2Trials_Rp,AN_inval_nOl2Trials_Rp,AN_val_nOmissionTrials_Rp,AN_inval_nOmissionTrials_Rp,AN_val_nHitTrials_Rp,AN_inval_nHitTrials_Rp,AN_val_nCleanTrials_Rp,AN_inval_nCleanTrials_Rp,AN_val_MeanMaxAmp_Rp,AN_inval_MeanMaxAmp_Rp,AN_val_SdMaxAmp_Rp,AN_inval_SdMaxAmp_Rp,HA_val_meanRT_Rp,HA_inval_meanRT_Rp,HA_val_sdRT_Rp,HA_inval_sdRT_Rp,HA_val_nErrorTrials_Rp,HA_inval_nErrorTrials_Rp,HA_val_nFpTrials_Rp,HA_inval_nFpTrials_Rp,HA_val_nOl1Trials_Rp,HA_inval_nOl1Trials_Rp,HA_val_nOl2Trials_Rp,HA_inval_nOl2Trials_Rp,HA_val_nOmissionTrials_Rp,HA_inval_nOmissionTrials_Rp,HA_val_nHitTrials_Rp,HA_inval_nHitTrials_Rp,HA_val_nCleanTrials_Rp,HA_inval_nCleanTrials_Rp,HA_val_MeanMaxAmp_Rp,HA_inval_MeanMaxAmp_Rp,HA_val_SdMaxAmp_Rp,HA_inval_SdMaxAmp_Rp
VP01,yes,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VP02,no,no,0.61436,0.68867,0.17598,0.11591,0,0,0,0,5,0,0,0,0,0,80,20,80,20,7640.6171,7889.97,2463.1961,1879.8521,0.62051,0.80703,0.15763,0.088972,0,0,0,0,5,1,0,0,0,0,80,20,80,20,651.6403,704.8364,126.2909,144.9376
VP03,yes,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VP04,no,no,0.75893,0.72656,0.33702,0.29139,0,0,2,0,5,0,2,1,1,1,77,19,80,20,1745.3474,2142.1485,922.6851,707.3883,0.70371,0.90664,0.23097,0.20433,0,0,0,0,1,0,2,1,0,0,80,20,80,20,353.7681,359.4755,109.9372,86.4639
VP05,no,yes,0.77588,0.7582,0.18198,0.21598,0,0,0,0,3,1,0,0,0,0,80,20,80,20,3981.5202,3658.9039,1506.7412,1230.0107,0.2043,0.2043,0.23451,0.27232,0,0,0,0,1,1,0,0,0,0,80,20,80,20,92.6263,131.6088,34.3878,62.143
VP06,no,no,0.56143,0.61562,0.13773,0.1463,0,0,0,0,4,1,0,0,0,0,80,20,80,20,1503.4337,1406.128,653.1501,459.5993,0.2418,0.30547,0.17419,0.26726,0,0,0,0,3,1,0,0,0,0,80,20,80,20,131.7296,118.2675,52.2882,25.4123
VP07,no,no,0.95475,1.1402,0.27036,0.26965,0,0,3,0,3,2,1,0,0,0,77,20,80,20,1494.6101,1692.244,547.73,755.8647,0.26563,0.18086,0.37924,0.31451,0,0,0,0,4,2,0,0,0,0,80,20,80,20,74.6194,81.7462,30.551,29.7157
VP08,no,no,0.78632,0.88787,0.32383,0.50008,0,0,3,2,3,0,2,0,3,1,74,17,80,20,2121.9229,1933.2207,1458.0271,1490.0469,0.33525,0.47852,0.23871,0.30997,0,0,0,0,1,0,0,0,0,0,80,20,80,20,143.5105,141.7029,56.4717,55.9259
VP09,no,no,0.66075,0.79077,0.22649,0.16519,0,0,0,0,4,1,1,0,0,0,80,20,80,20,3548.215,3691.541,1486.4019,1978.1069,0.66688,0.9689,0.51798,0.4479,0,0,0,0,0,0,0,1,0,0,80,20,80,20,198.7752,225.9366,66.6966,63.9893
VP10,no,no,0.65368,0.81797,0.14206,0.25992,0,0,0,0,0,0,0,0,1,0,79,20,80,20,2174.6024,2226.6424,434.4146,503.3342,0.34766,0.33633,0.24129,0.20346,0,0,0,0,6,0,0,0,0,0,80,20,80,20,104.3492,125.6378,40.1717,32.8827
VP11,yes,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VP12,no,no,0.71211,0.68503,0.19904,0.26383,0,0,0,0,4,1,0,1,0,1,80,19,80,20,2041.9539,1911.746,513.2192,517.7002,0.51187,0.66289,0.23353,0.21459,0,0,0,0,2,1,2,1,1,0,79,20,80,20,124.9192,142.8838,37.5435,37.1071
VP13,no,no,0.37939,0.5582,0.16764,0.10553,0,0,0,0,3,1,0,0,0,0,80,20,80,20,2111.7198,1924.79,528.6455,640.4223,0.12881,0.29961,0.1272,0.24958,0,0,0,0,3,0,0,0,0,0,80,20,80,20,84.5187,84.6653,22.8226,35.7782
VP14,yes,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VP15,no,no,0.63991,0.70977,0.20878,0.14444,0,0,2,0,3,1,0,0,2,0,76,20,80,20,9518.2806,8946.7906,6315.3691,3463.0503,0.48853,0.69243,0.20962,0.15216,0,0,1,0,3,0,1,0,0,1,79,19,80,20,357.4008,380.1439,135.477,156.8773
VP16,no,no,0.72706,0.80039,0.21815,0.32586,0,0,1,0,3,2,0,0,0,0,79,20,80,20,2503.6591,2533.8597,615.7044,431.3032,0.25947,0.32891,0.30906,0.40091,0,0,0,0,3,1,0,0,0,0,80,20,80,20,57.0581,54.4109,18.1486,13.235
VP17,no,no,0.90303,0.96875,0.34225,0.42294,0,0,0,1,3,1,0,1,0,0,80,19,80,20,2117.9164,2090.8222,547.4309,803.0598,0.23584,0.40469,0.214,0.29129,0,0,0,0,1,0,0,0,0,0,80,20,80,20,67.4656,72.3733,19.0181,12.7332
VP18,no,no,0.58752,0.69819,0.20539,0.19007,0,0,1,1,3,1,1,0,0,0,79,19,80,20,5325.4497,5204.9017,1146.1374,1470.066,0.34933,0.5699,0.32126,0.38816,0,0,1,1,3,0,0,0,2,0,77,19,80,20,175.2785,170.3932,81.7314,75.3747
VP19,no,no,0.94089,1.0641,0.3581,0.43483,0,0,4,0,4,0,0,0,0,0,76,20,80,20,2082.8631,1692.1349,1307.5056,1060.1386,0.36094,0.44243,0.2873,0.33986,0,0,0,1,0,0,0,0,0,0,80,19,80,20,92.2802,94.9215,30.0144,39.2504
VP20,no,no,0.69395,0.8207,0.15245,0.12695,0,0,0,0,2,0,0,0,0,0,80,20,80,20,2107.2159,2472.0491,366.7942,379.9924,0.1668,0.23203,0.26008,0.30303,0,0,0,0,6,2,0,0,0,0,80,20,80,20,86.3959,93.0908,36.9282,77.316
VP21,no,no,0.79414,0.81719,0.14317,0.11746,0,0,0,0,3,1,2,1,0,0,80,20,80,20,5300.5773,5273.8284,1167.1752,1319.5218,0.23262,0.26602,0.27359,0.29848,0,0,0,0,2,0,0,0,0,0,80,20,80,20,86.5719,82.6804,31.3873,30.3964
VP22,no,no,0.73086,0.75,0.34551,0.41577,0,0,0,1,2,1,5,0,0,0,80,19,80,20,3520.5116,3544.2174,1151.1133,1212.8704,0.20234,0.39727,0.23231,0.38288,0,0,0,0,1,0,0,0,0,0,80,20,80,20,70.3365,74.4417,22.5467,25.3735
VP23,no,no,0.58262,0.63203,0.28474,0.28153,0,0,7,0,1,1,0,1,0,0,73,20,80,20,1376.9774,1487.138,847.3629,708.2033,0.2043,0.17813,0.2308,0.20767,0,0,0,0,3,1,0,0,0,0,80,20,80,20,67.1017,74.7637,27.6687,27.6713
VP24,no,no,0.75591,0.83086,0.19097,0.26485,0,0,2,0,1,1,1,0,0,0,78,20,80,20,1944.8043,2166.8764,459.3998,338.5594,0.62629,1.0243,0.22927,0.41057,0,0,1,1,4,1,3,0,0,0,79,19,80,20,290.3592,272.9798,157.2866,196.537
VP25,no,no,0.65566,0.67229,0.34957,0.33969,0,0,0,1,4,1,0,0,0,0,80,19,80,20,1021.6583,1013.0613,493.036,570.1073,0.21191,0.31172,0.18027,0.22021,0,0,0,0,1,0,0,0,0,0,80,20,80,20,113.0848,117.0129,49.2362,48.2177
