subjid,isExcluded_Rp,isExcluded_Ts,AN_val_meanRT_Rp,AN_inval_meanRT_Rp,AN_val_sdRT_Rp,AN_inval_sdRT_Rp,AN_val_nErrorTrials_Rp,AN_inval_nErrorTrials_Rp,AN_val_nFpTrials_Rp,AN_inval_nFpTrials_Rp,AN_val_nOl1Trials_Rp,AN_inval_nOl1Trials_Rp,AN_val_nOl2Trials_Rp,AN_inval_nOl2Trials_Rp,AN_val_nOmissionTrials_Rp,AN_inval_nOmissionTrials_Rp,AN_val_nHitTrials_Rp,AN_inval_nHitTrials_Rp,AN_val_nCleanTrials_Rp,AN_inval_nCleanTrials_Rp,AN_val_MeanMaxAmp_Rp,AN_inval_MeanMaxAmp_Rp,AN_val_SdMaxAmp_Rp,AN_inval_SdMaxAmp_Rp,HA_val_meanRT_Rp,HA_inval_meanRT_Rp,HA_val_sdRT_Rp,HA_inval_sdRT_Rp,HA_val_nErrorTrials_Rp,HA_inval_nErrorTrials_Rp,HA_val_nFpTrials_Rp,HA_inval_nFpTrials_Rp,HA_val_nOl1Trials_Rp,HA_inval_nOl1Trials_Rp,HA_val_nOl2Trials_Rp,HA_inval_nOl2Trials_Rp,HA_val_nOmissionTrials_Rp,HA_inval_nOmissionTrials_Rp,HA_val_nHitTrials_Rp,HA_inval_nHitTrials_Rp,HA_val_nCleanTrials_Rp,HA_inval_nCleanTrials_Rp,HA_val_MeanMaxAmp_Rp,HA_inval_MeanMaxAmp_Rp,HA_val_SdMaxAmp_Rp,HA_inval_SdMaxAmp_Rp
VP01,yes,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VP02,no,no,0.61436,0.68867,0.17598,0.11591,0,0,0,0,5,0,0,0,0,0,80,20,80,20,7640.6171,7889.97,2463.1961,1879.8521,0.62051,0.80703,0.15763,0.088972,0,0,0,0,5,1,0,0,0,0,80,20,80,20,651.6403,704.8364,126.2909,144.9376
VP03,yes,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VP04,no,no,0.77713,0.76649,0.31957,0.24047,4,1,1,0,5,0,0,0,1,1,74,18,76,19,1745.3474,2142.1485,922.6851,707.3883,0.71534,0.90664,0.21846,0.20433,2,0,0,0,1,0,1,1,0,0,78,20,78,20,353.7681,359.4755,109.9372,86.4639
VP05,no,yes,0.79831,0.79375,0.18991,0.20129,42,10,0,0,1,0,0,0,0,0,38,10,38,10,3981.5202,3658.9039,1506.7412,1230.0107,0.43196,0.59844,0.16298,0.12507,49,15,0,0,1,0,3,0,0,0,31,5,31,5,92.6263,131.6088,34.3878,62.143
VP06,no,no,0.54703,0.62109,0.14338,0.17357,30,10,0,0,4,1,0,0,0,0,50,10,50,10,1503.4337,1406.128,653.1501,459.5993,0.31222,0.49544,0.13901,0.15662,24,8,0,0,3,1,0,0,0,0,56,12,56,12,131.7296,118.2675,52.2882,25.4123
VP07,no,no,0.96562,1.192,0.20005,0.27896,50,13,0,0,0,0,0,0,0,0,30,7,30,7,1494.6101,1692.244,547.73,755.8647,0.60826,0.57422,0.36365,0.33152,52,14,0,0,0,0,0,0,0,0,28,6,28,6,74.6194,81.7462,30.551,29.7157
VP08,no,no,0.78469,0.95613,0.26384,0.49767,26,5,1,1,2,0,0,0,3,1,50,13,54,15,2121.9229,1933.2207,1458.0271,1490.0469,0.4254,0.55699,0.18558,0.265,29,3,0,0,1,0,0,0,0,0,51,17,51,17,143.5105,141.7029,56.4717,55.9259
VP09,no,no,0.66134,0.8117,0.2193,0.16995,14,3,0,0,3,0,0,0,0,0,66,17,66,17,3548.215,3691.541,1486.4019,1978.1069,0.84816,1.0548,0.43128,0.37633,20,2,0,0,0,0,0,0,0,0,60,18,60,18,198.7752,225.9366,66.6966,63.9893
VP10,no,no,0.63251,0.83426,0.13208,0.21534,27,6,0,0,2,1,0,0,1,0,52,14,53,14,2174.6024,2226.6424,434.4146,503.3342,0.39695,0.44085,0.21098,0.10166,17,6,0,0,5,0,0,0,0,0,63,14,63,14,104.3492,125.6378,40.1717,32.8827
VP11,yes,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VP12,no,no,0.71381,0.74072,0.19973,0.21929,1,3,0,0,4,1,0,0,0,1,79,16,79,17,2041.9539,1911.746,513.2192,517.7002,0.52467,0.65296,0.22307,0.2157,3,1,0,0,2,1,2,1,1,0,76,19,77,19,124.9192,142.8838,37.5435,37.1071
VP13,no,no,0.35807,0.5277,0.1216,0.067601,44,9,0,0,3,0,0,0,0,0,36,11,36,11,2111.7198,1924.79,528.6455,640.4223,0.2471,0.49219,0.065968,0.07257,45,12,0,0,3,0,0,0,0,0,35,8,35,8,84.5187,84.6653,22.8226,35.7782
VP14,yes,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VP15,no,no,0.63991,0.71258,0.20878,0.14783,0,1,2,0,3,0,0,0,2,0,76,19,80,19,9518.2806,8946.7906,6315.3691,3463.0503,0.49432,0.69243,0.20496,0.15216,2,0,1,0,3,0,0,0,0,1,77,19,78,20,357.4008,380.1439,135.477,156.8773
VP16,no,no,0.72234,0.86118,0.1962,0.38977,42,7,1,0,1,0,0,0,0,0,37,13,38,13,2503.6591,2533.8597,615.7044,431.3032,0.4917,0.73926,0.25781,0.28829,48,12,0,0,1,0,0,0,0,0,32,8,32,8,57.0581,54.4109,18.1486,13.235
VP17,no,no,0.85954,1.0142,0.24715,0.42672,33,9,0,0,2,1,0,0,0,0,47,11,47,11,2117.9164,2090.8222,547.4309,803.0598,0.38223,0.57572,0.16426,0.15012,40,7,0,0,1,0,0,1,0,0,40,13,40,13,67.4656,72.3733,19.0181,12.7332
VP18,no,no,0.5966,0.70573,0.20317,0.20835,16,4,1,1,2,0,0,0,0,0,63,15,64,16,5325.4497,5204.9017,1146.1374,1470.066,0.45074,0.73678,0.30032,0.28165,18,6,1,1,3,0,0,1,2,0,59,13,62,14,175.2785,170.3932,81.7314,75.3747
VP19,no,no,0.88007,1.2102,0.3028,0.48686,22,9,1,0,4,0,0,0,0,0,57,11,58,11,2082.8631,1692.1349,1307.5056,1060.1386,0.53771,0.63542,0.18265,0.2182,28,7,0,1,0,0,3,1,0,0,52,12,52,13,92.2802,94.9215,30.0144,39.2504
VP20,no,no,0.69737,0.71875,0.14745,0.015625,61,17,0,0,0,0,0,0,0,0,19,3,19,3,2107.2159,2472.0491,366.7942,379.9924,0.47309,0.4654,0.26607,0.31811,62,13,0,0,1,0,0,0,0,0,18,7,18,7,86.3959,93.0908,36.9282,77.316
VP21,no,no,0.81286,0.80208,0.15992,0.16877,58,14,0,0,0,0,1,0,0,0,22,6,22,6,5300.5773,5273.8284,1167.1752,1319.5218,0.43945,0.58371,0.25643,0.18209,48,13,0,0,1,0,0,0,0,0,32,7,32,7,86.5719,82.6804,31.3873,30.3964
VP22,no,no,0.72505,0.74609,0.30185,0.18755,49,16,0,0,1,0,1,0,0,0,31,4,31,4,3520.5116,3544.2174,1151.1133,1212.8704,0.4396,0.61892,0.16758,0.29333,54,11,0,0,0,0,0,0,0,0,26,9,26,9,70.3365,74.4417,22.5467,25.3735
VP23,no,no,0.60547,0.62109,0.34218,0.09515,41,16,3,0,1,0,0,0,0,0,36,4,39,4,1376.9774,1487.138,847.3629,708.2033,0.34464,0.36816,0.19381,0.1404,45,12,0,0,1,0,0,0,0,0,35,8,35,8,67.1017,74.7637,27.6687,27.6713
VP24,no,no,0.76025,0.83086,0.18832,0.26485,1,0,2,0,1,1,1,0,0,0,77,20,79,20,1944.8043,2166.8764,459.3998,338.5594,0.63421,1.0243,0.21958,0.41057,1,0,1,1,4,1,2,0,0,0,78,19,79,20,290.3592,272.9798,157.2866,196.537
VP25,no,no,0.68288,0.75558,0.28303,0.36137,31,5,0,1,2,1,0,0,0,0,49,14,49,15,1021.6583,1013.0613,493.036,570.1073,0.31738,0.42299,0.13685,0.15324,32,6,0,0,1,0,0,1,0,0,48,14,48,14,113.0848,117.0129,49.2362,48.2177
