subjid,isExcluded_Rp,isExcluded_Ts,AN_val_meanRT_Rp,AN_inval_meanRT_Rp,AN_val_sdRT_Rp,AN_inval_sdRT_Rp,AN_val_nErrorTrials_Rp,AN_inval_nErrorTrials_Rp,AN_val_nFpTrials_Rp,AN_inval_nFpTrials_Rp,AN_val_nOl1Trials_Rp,AN_inval_nOl1Trials_Rp,AN_val_nOl2Trials_Rp,AN_inval_nOl2Trials_Rp,AN_val_nOmissionTrials_Rp,AN_inval_nOmissionTrials_Rp,AN_val_nHitTrials_Rp,AN_inval_nHitTrials_Rp,AN_val_nCleanTrials_Rp,AN_inval_nCleanTrials_Rp,AN_val_MeanMaxAmp_Rp,AN_inval_MeanMaxAmp_Rp,AN_val_SdMaxAmp_Rp,AN_inval_SdMaxAmp_Rp,HA_val_meanRT_Rp,HA_inval_meanRT_Rp,HA_val_sdRT_Rp,HA_inval_sdRT_Rp,HA_val_nErrorTrials_Rp,HA_inval_nErrorTrials_Rp,HA_val_nFpTrials_Rp,HA_inval_nFpTrials_Rp,HA_val_nOl1Trials_Rp,HA_inval_nOl1Trials_Rp,HA_val_nOl2Trials_Rp,HA_inval_nOl2Trials_Rp,HA_val_nOmissionTrials_Rp,HA_inval_nOmissionTrials_Rp,HA_val_nHitTrials_Rp,HA_inval_nHitTrials_Rp,HA_val_nCleanTrials_Rp,HA_inval_nCleanTrials_Rp,HA_val_MeanMaxAmp_Rp,HA_inval_MeanMaxAmp_Rp,HA_val_SdMaxAmp_Rp,HA_inval_SdMaxAmp_Rp,nRpTrials
VP01,yes,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
VP02,no,no,0.61436,0.68867,0.17598,0.11591,0,0,0,0,5,0,0,0,0,0,80,20,80,20,7640.6171,7889.97,2463.1961,1879.8521,0.62051,0.80703,0.15763,0.088972,0,0,0,0,5,1,0,0,0,0,80,20,80,20,651.6403,704.8364,126.2909,144.9376,200
VP03,yes,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
VP04,no,no,0.75893,0.76649,0.33702,0.24047,0,1,2,0,5,0,2,0,1,1,77,18,80,19,1745.3474,2142.1485,922.6851,707.3883,0.70371,0.90664,0.23097,0.20433,0,0,0,0,1,0,2,1,0,0,80,20,80,20,353.7681,359.4755,109.9372,86.4639,200
VP05,no,yes,0.78068,0.72151,0.17412,0.20012,11,3,0,0,2,1,0,0,0,0,69,17,69,17,3981.5202,3658.9039,1506.7412,1230.0107,0.22545,0.20009,0.23767,0.2761,10,2,0,0,1,0,0,0,0,0,70,18,70,18,92.6263,131.6088,34.3878,62.143,200
VP06,no,no,0.56453,0.61502,0.13851,0.15037,7,2,0,0,4,1,0,0,0,0,73,18,73,18,1503.4337,1406.128,653.1501,459.5993,0.24568,0.35616,0.17365,0.25804,4,3,0,0,3,0,0,0,0,0,76,17,76,17,131.7296,118.2675,52.2882,25.4123,200
VP07,no,no,0.95277,1.1098,0.27628,0.24568,12,3,2,0,3,1,1,0,0,0,66,17,68,17,1494.6101,1692.244,547.73,755.8647,0.30673,0.22412,0.39323,0.33958,11,4,0,0,4,2,0,0,0,0,69,16,69,16,74.6194,81.7462,30.551,29.7157,200
VP08,no,no,0.77321,0.86927,0.29364,0.52671,7,2,2,2,3,0,2,0,3,1,68,15,73,18,2121.9229,1933.2207,1458.0271,1490.0469,0.35081,0.50329,0.22862,0.29743,7,1,0,0,1,0,0,0,0,0,73,19,73,19,143.5105,141.7029,56.4717,55.9259,200
VP09,no,no,0.69795,0.82278,0.22128,0.16774,6,1,0,0,4,1,0,0,0,0,74,19,74,19,3545.8443,3689.8597,1487.0778,1978.8944,0.76778,1.0777,0.49094,0.37788,11,2,0,0,0,0,0,0,0,0,69,18,69,18,198.5632,225.6812,66.6237,63.9551,200
VP10,no,no,0.64051,0.83676,0.12891,0.2527,11,1,0,0,2,0,0,0,1,0,68,19,69,19,2174.6024,2226.6424,434.4146,503.3342,0.36643,0.36443,0.23472,0.19327,8,3,0,0,6,0,0,0,0,0,72,17,72,17,104.3492,125.6378,40.1717,32.8827,200
