subjid,isExcluded_Rp,isExcluded_Ts,AN_val_1_meanRT_Ts_fine,AN_val_2_meanRT_Ts_fine,AN_inval_1_meanRT_Ts_fine,AN_inval_2_meanRT_Ts_fine,AN_inval_3_meanRT_Ts_fine,AN_val_1_sdRT_Ts_fine,AN_val_2_sdRT_Ts_fine,AN_inval_1_sdRT_Ts_fine,AN_inval_2_sdRT_Ts_fine,AN_inval_3_sdRT_Ts_fine,AN_val_1_nErrorTrials_Ts_fine,AN_val_2_nErrorTrials_Ts_fine,AN_inval_1_nErrorTrials_Ts_fine,AN_inval_2_nErrorTrials_Ts_fine,AN_inval_3_nErrorTrials_Ts_fine,AN_val_1_nFpTrials_Ts_fine,AN_val_2_nFpTrials_Ts_fine,AN_inval_1_nFpTrials_Ts_fine,AN_inval_2_nFpTrials_Ts_fine,AN_inval_3_nFpTrials_Ts_fine,AN_val_1_nOl1Trials_Ts_fine,AN_val_2_nOl1Trials_Ts_fine,AN_inval_1_nOl1Trials_Ts_fine,AN_inval_2_nOl1Trials_Ts_fine,AN_inval_3_nOl1Trials_Ts_fine,AN_val_1_nOl2Trials_Ts_fine,AN_val_2_nOl2Trials_Ts_fine,AN_inval_1_nOl2Trials_Ts_fine,AN_inval_2_nOl2Trials_Ts_fine,AN_inval_3_nOl2Trials_Ts_fine,AN_val_1_nOmissionTrials_Ts_fine,AN_val_2_nOmissionTrials_Ts_fine,AN_inval_1_nOmissionTrials_Ts_fine,AN_inval_2_nOmissionTrials_Ts_fine,AN_inval_3_nOmissionTrials_Ts_fine,AN_val_1_nHitTrials_Ts_fine,AN_val_2_nHitTrials_Ts_fine,AN_inval_1_nHitTrials_Ts_fine,AN_inval_2_nHitTrials_Ts_fine,AN_inval_3_nHitTrials_Ts_fine,AN_val_1_nCleanTrials_Ts_fine,AN_val_2_nCleanTrials_Ts_fine,AN_inval_1_nCleanTrials_Ts_fine,AN_inval_2_nCleanTrials_Ts_fine,AN_inval_3_nCleanTrials_Ts_fine,AN_val_1_MeanMaxAmp_Ts_fine,AN_val_2_MeanMaxAmp_Ts_fine,AN_inval_1_MeanMaxAmp_Ts_fine,AN_inval_2_MeanMaxAmp_Ts_fine,AN_inval_3_MeanMaxAmp_Ts_fine,AN_val_1_SdMaxAmp_Ts_fine,AN_val_2_SdMaxAmp_Ts_fine,AN_inval_1_SdMaxAmp_Ts_fine,AN_inval_2_SdMaxAmp_Ts_fine,AN_inval_3_SdMaxAmp_Ts_fine,HA_val_1_meanRT_Ts_fine,HA_val_2_meanRT_Ts_fine,HA_inval_1_meanRT_Ts_fine,HA_inval_2_meanRT_Ts_fine,HA_inval_3_meanRT_Ts_fine,HA_val_1_sdRT_Ts_fine,HA_val_2_sdRT_Ts_fine,HA_inval_1_sdRT_Ts_fine,HA_inval_2_sdRT_Ts_fine,HA_inval_3_sdRT_Ts_fine,HA_val_1_nErrorTrials_Ts_fine,HA_val_2_nErrorTrials_Ts_fine,HA_inval_1_nErrorTrials_Ts_fine,HA_inval_2_nErrorTrials_Ts_fine,HA_inval_3_nErrorTrials_Ts_fine,HA_val_1_nFpTrials_Ts_fine,HA_val_2_nFpTrials_Ts_fine,HA_inval_1_nFpTrials_Ts_fine,HA_inval_2_nFpTrials_Ts_fine,HA_inval_3_nFpTrials_Ts_fine,HA_val_1_nOl1Trials_Ts_fine,HA_val_2_nOl1Trials_Ts_fine,HA_inval_1_nOl1Trials_Ts_fine,HA_inval_2_nOl1Trials_Ts_fine,HA_inval_3_nOl1Trials_Ts_fine,HA_val_1_nOl2Trials_Ts_fine,HA_val_2_nOl2Trials_Ts_fine,HA_inval_1_nOl2Trials_Ts_fine,HA_inval_2_nOl2Trials_Ts_fine,HA_inval_3_nOl2Trials_Ts_fine,HA_val_1_nOmissionTrials_Ts_fine,HA_val_2_nOmissionTrials_Ts_fine,HA_inval_1_nOmissionTrials_Ts_fine,HA_inval_2_nOmissionTrials_Ts_fine,HA_inval_3_nOmissionTrials_Ts_fine,HA_val_1_nHitTrials_Ts_fine,HA_val_2_nHitTrials_Ts_fine,HA_inval_1_nHitTrials_Ts_fine,HA_inval_2_nHitTrials_Ts_fine,HA_inval_3_nHitTrials_Ts_fine,HA_val_1_nCleanTrials_Ts_fine,HA_val_2_nCleanTrials_Ts_fine,HA_inval_1_nCleanTrials_Ts_fine,HA_inval_2_nCleanTrials_Ts_fine,HA_inval_3_nCleanTrials_Ts_fine,HA_val_1_MeanMaxAmp_Ts_fine,HA_val_2_MeanMaxAmp_Ts_fine,HA_inval_1_MeanMaxAmp_Ts_fine,HA_inval_2_MeanMaxAmp_Ts_fine,HA_inval_3_MeanMaxAmp_Ts_fine,HA_val_1_SdMaxAmp_Ts_fine,HA_val_2_SdMaxAmp_Ts_fine,HA_inval_1_SdMaxAmp_Ts_fine,HA_inval_2_SdMaxAmp_Ts_fine,HA_inval_3_SdMaxAmp_Ts_fine,nTs_fineTrials
VP01,yes,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
VP02,no,no,0.56458,0.58796,0.5874,0.57079,0.54831,0.19131,0.14043,0.10606,0.13766,0.12664,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,0,0,1,0,0,1,0,0,0,0,64,27,16,33,38,65,27,16,33,38,11505.698,11249.9048,11655.7284,12452.5151,13147.2932,2855.0441,2124.482,2745.3965,2283.022,2867.791,0.54241,0.60573,0.61816,0.58902,0.55256,0.117,0.14882,0.1249,0.15763,0.076528,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,1,0,0,0,0,0,63,30,16,38,33,63,30,16,38,33,585.6933,525.6977,602.3569,571.3403,534.3016,186.6766,133.5713,165.6439,128.7534,148.3697,359
VP03,yes,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
VP04,no,no,0.77117,0.63724,0.8125,0.72396,0.67736,0.37184,0.19994,0.31605,0.23806,0.23398,0,0,0,0,0,0,0,0,0,0,5,2,1,1,2,0,0,0,0,0,0,0,0,0,0,62,30,20,30,37,62,30,20,30,37,1492.0458,1354.7931,2108.975,1768.7962,2072.8664,1020.0541,985.4463,523.9116,688.685,873.913,0.72383,0.70691,0.63695,0.68433,0.66286,0.19458,0.17817,0.22843,0.16828,0.16807,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,2,0,0,2,1,0,0,0,0,0,60,31,17,32,39,61,31,17,32,39,210.9918,202.8325,199.8319,243.6566,252.7695,53.3015,47.8437,54.3367,52.6961,64.727,359
VP05,no,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,158
VP06,no,no,0.50822,0.53101,0.54359,0.49281,0.51545,0.071746,0.054723,0.085713,0.088731,0.098295,1,0,1,1,0,0,0,0,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,57,32,19,25,44,57,32,19,25,44,1476.8091,1305.982,1741.8621,1677.896,1693.5747,438.4397,235.3985,491.4901,390.043,317.8018,0.35005,0.36265,0.35508,0.37142,0.34539,0.087614,0.087411,0.070128,0.070293,0.087986,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,3,1,1,0,2,0,0,0,0,0,57,31,20,24,43,57,31,20,24,43,77.838,84.6211,75.6652,80.3539,83.9521,19.389,46.1113,15.6847,22.1756,19.1088,359
VP07,no,no,0.71665,0.70892,0.78564,0.76638,0.78078,0.17113,0.22866,0.1813,0.19834,0.20504,6,2,0,2,5,1,0,0,0,0,4,2,0,1,1,0,0,1,0,0,0,0,0,0,0,52,31,16,31,33,53,31,16,31,33,1451.1357,1318.7854,1492.0474,1711.1785,1735.8307,336.8561,273.2639,209.0376,367.5069,407.802,0.49629,0.53486,0.50898,0.50751,0.44455,0.28709,0.3175,0.23535,0.37858,0.18416,2,2,0,0,1,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,59,26,20,26,41,59,26,20,26,41,67.4257,68.3449,70.7459,67.9118,67.5431,29.5426,33.9259,74.9739,26.8867,24.8812,356
VP08,no,no,0.544,0.59801,0.5625,0.54492,0.54405,0.087852,0.091048,0.07299,0.089396,0.070477,1,0,0,0,0,0,0,0,0,1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,57,33,15,36,36,57,33,15,36,37,2338.1213,1888.5094,2603.066,2992.8145,2652.1582,1183.7822,964.6372,804.1082,1835.5138,1479.7107,0.42224,0.44559,0.40531,0.38062,0.36719,0.10583,0.092524,0.07807,0.11538,0.08331,0,0,0,0,2,0,0,0,0,0,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0,64,28,25,25,36,64,28,25,25,36,112.2227,119.6488,108.4893,100.926,108.0136,28.7627,21.6417,27.3086,25.1616,26.7526,359
VP09,no,no,0.75893,0.85846,0.79555,0.80048,0.74599,0.25146,0.20458,0.12086,0.17577,0.13322,0,1,0,0,1,2,0,0,0,0,1,0,1,2,2,1,1,1,0,0,1,1,0,0,0,55,32,14,36,36,58,33,14,36,36,1626.2548,1374.5855,1943.3048,2323.233,2770.7509,1103.4817,821.6473,770.5084,1128.1833,1248.1558,0.63365,0.61952,0.82537,0.78227,0.72819,0.35784,0.34226,0.36347,0.29604,0.35957,1,0,0,0,0,0,0,0,0,0,5,2,1,0,2,0,0,0,0,0,0,0,0,0,0,63,28,22,24,42,63,28,22,24,42,119.1566,98.6712,111.6658,125.5826,123.9457,58.6221,39.2572,40.5014,48.4216,41.6287,359
VP10,no,no,0.6317,0.68888,0.60208,0.53025,0.54664,0.1717,0.26597,0.075599,0.12714,0.10501,1,0,1,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,56,34,15,39,33,56,34,15,39,33,2074.9864,1845.3957,2187.3621,2372.4008,2466.9406,1113.3509,951.0558,1143.4193,859.4482,1076.7443,0.42139,0.46695,0.42668,0.40863,0.37344,0.20658,0.31981,0.22906,0.49439,0.27628,0,0,0,1,0,0,0,0,0,0,6,1,1,1,2,0,0,0,0,0,0,0,0,0,0,64,26,26,23,40,64,26,26,23,40,87.1809,96.7658,85.5793,96.6491,123.2343,48.4026,47.8024,65.318,69.5523,90.8783,359
