trigger,category,rt,amplitude
52,0,0.2578125,72.7588041391601
51,0,0.953125,2123.61245691672
52,0,0.5703125,115.980689639139
62,0,0.9453125,71.0426821096698
52,60,NaN,63.4165333500086
52,0,0.515625,165.011038967056
52,0,0.7109375,95.4113069857439
51,0,0.6640625,2344.57989877541
52,0,0.7421875,80.705957994063
52,0,0.8046875,140.359167110536
51,0,0.8515625,2251.71919017202
52,0,0.6875,111.632440610586
51,99,NaN,1852.66466737677
51,69,NaN,1436.67347490618
51,99,NaN,912.601627121678
51,0,0.8515625,932.244144016125
52,0,0.5390625,115.831604222332
51,0,0.578125,1705.49451237952
62,0,0.453125,143.56131877767
62,99,NaN,123.729095330624
52,91,NaN,85.9602902158592
51,0,0.421875,2166.25664873233
51,0,0.65625,1494.64506135041
51,0,0.875,1108.4782541833
52,0,0.484375,121.671227797195
51,0,0.765625,1353.85081605298
51,0,1.078125,1248.31898542954
52,0,0.5859375,97.8774714188423
51,0,0.59375,1573.09692662699
52,0,0.484375,97.2731466074847
51,0,0.7734375,1550.20902687726
51,0,0.640625,1608.42861030827
51,0,0.6953125,1474.90778788225
51,0,0.96875,1588.96515610593
52,0,0.46875,133.567595780497
51,0,0.609375,2259.25945076002
51,0,0.8046875,2087.39797597925
52,0,0.640625,116.081877237161
51,0,0.53125,2653.73728090069
61,0,0.796875,2189.21591553663
62,0,0.7421875,80.5461836377229
51,0,0.671875,2682.00431802609
51,0,0.640625,2059.58610466399
51,0,0.9453125,1904.5274253668
51,0,0.6953125,2027.24226330445
51,0,0.6328125,1676.84840109925
61,69,NaN,1830.07135925828
52,0,0.7109375,39.4693744016388
52,0,0.546875,80.4002214665604
52,0,0.4375,117.322137479198
52,0,0.3984375,122.373410452243
51,0,0.453125,2219.57681641153
52,0,0.453125,96.8779745567696
52,0,0.328125,141.698366936054
51,0,0.515625,3047.43538383086
52,0,0.5078125,113.639317471234
51,0,0.5546875,2836.31429760538
52,0,0.4453125,105.561443974325
52,0,0.859375,126.869539012198
52,99,NaN,49.2032596990135
51,0,0.5,3227.86119210581
52,91,NaN,135.498480193779
52,0,0.4921875,112.101434840453
52,0,0.4921875,168.484938965615
62,0,0.7890625,108.719731216538
51,0,1.0546875,2836.32284065779
51,99,NaN,2140.5697826843
52,0,0.5234375,86.9697042686402
51,0,0.6875,2227.24820266355
52,0,0.40625,124.820082102414
51,0,0.6953125,2329.26356863105
61,0,0.7421875,2134.1618898585
52,60,NaN,133.023877082313
61,69,NaN,2249.56783168314
52,0,0.46875,94.3393480651212
51,0,0.515625,2113.1246176824
52,59,NaN,30.4390747153506
51,0,0.8515625,2219.19889347039
52,0,0.640625,50.1096875256097
52,0,0.625,118.563295025279
62,69,NaN,145.633160206187
61,59,NaN,434.816209713358
52,0,0.6484375,114.793618513838
62,0,0.859375,118.763038689972
52,0,0.5703125,104.996600593361
52,0,0.5625,140.934229669914
51,0,0.421875,2043.22906784653
51,0,0.8984375,2195.71494995626
52,0,0.5390625,159.305047847802
51,0,0.6484375,2547.92765392547
51,0,0.6328125,2423.73244195026
51,0,0.84375,1956.2501098145
62,0,0.609375,201.466877740122
61,0,0.5546875,2577.76524884542
51,0,0.859375,1679.74047178983
52,0,0.4921875,113.422608158938
61,99,NaN,2224.41087925058
51,0,0.75,1825.17108276745
51,0,0.7109375,1855.79366118201
52,0,0.609375,91.4672062531276
51,0,0.4296875,1869.73463818092
52,0,0.453125,102.20405256442
51,0,0.6171875,2400.67972559043
51,0,0.765625,2170.95152763574
51,0,0.6640625,1837.17062401002
62,0,0.4140625,137.956990217033
52,0,0.421875,118.91935569401
52,0,0.3828125,130.544835781402
51,0,0.390625,2867.45591683895
61,0,0.8203125,2308.70108908294
62,0,0.8046875,125.317478244863
62,0,0.609375,158.938556862048
52,60,NaN,94.6032907059002
51,0,0.53125,2832.3135698266
52,0,0.4921875,87.2283431137381
51,0,0.8671875,2454.5173243662
51,0,0.640625,1779.7912600492
52,0,0.5,92.6115286797277
52,0,0.5078125,96.9688168698793
62,0,0.6484375,131.881393947366
51,0,0.6171875,3247.18968129316
51,0,0.71875,2116.25314288994
51,0,0.7265625,1969.35676502894
51,0,0.609375,1991.77176650397
52,0,0.359375,133.333720014004
52,0,0.40625,135.647731859574
61,0,0.546875,2390.89492140619
51,0,0.578125,1651.27706543783
62,0,0.5859375,150.319602119638
51,0,0.7890625,1853.75329446756
51,0,0.6796875,1504.11619184885
51,69,NaN,1661.24536268382
62,0,0.59375,185.73920337087
51,0,0.7578125,2306.39016471214
61,0,0.8515625,1821.01147628954
62,0,0.8515625,121.286809062182
61,0,0.6875,2010.52408224498
52,0,0.5625,135.776270135413
52,0,0.6484375,119.399737770952
52,0,0.5546875,136.998446774834
51,0,0.578125,2553.94829476498
62,91,NaN,128.528450009366
51,0,0.9453125,2249.95197837954
51,0,0.6875,1732.06619073241
51,0,0.640625,1417.30538538911
52,0,0.4375,61.1533050205613
52,0,0.4765625,183.37675606305
52,0,0.4921875,166.008551150112
51,0,0.5390625,2509.90245515898
61,0,0.90625,1768.05700087539
52,99,NaN,149.272767706577
52,0,0.46875,127.705206910159
62,0,0.5390625,147.420535147576
51,0,0.5078125,2441.51841630574
52,0,0.484375,184.034249406789
51,0,0.6328125,2272.47172757411
52,0,0.4921875,149.095503535804
51,0,0.71875,1880.74307684363
61,0,0.75,1707.89829113623
52,0,0.2890625,200.513796685765
51,0,0.5078125,1912.88172809315
61,0,0.578125,1816.08026502358
52,0,0.4140625,188.430239844474
62,0,0.53125,199.321977590469
51,0,0.6171875,2385.44267373332
61,0,0.765625,1769.05729541475
52,0,0.4453125,151.8787525588
51,0,0.546875,1844.82151447836
51,0,0.640625,1675.7138246814
51,0,0.890625,1378.81324717693
51,0,0.7265625,1086.90199439544
62,0,0.4609375,209.597660652344
52,0,0.3828125,110.425221268284
52,0,0.5078125,207.797258116999
52,0,0.46875,195.53927434376
51,0,0.5390625,2745.05778981554
52,0,0.8828125,167.304083565895
61,0,0.7421875,2047.41850741598
52,69,NaN,119.421562325968
52,0,0.5546875,168.388894695342
61,0,0.4609375,2156.54948892934
