trigger,category,rt,amplitude
52,99,NaN,129.182466860541
51,0,0.890625,3461.80581135702
61,0,0.515625,2800.37329621889
52,0,0.0078125,68.4538563586462
51,0,0.4296875,3479.33065365988
62,0,0.59375,150.350119159226
51,0,0.5625,3128.40253117742
52,99,NaN,58.8661890618478
52,0,0.0078125,132.889054035309
61,0,0.4609375,3566.17779398231
52,0,0.1796875,60.8544871048863
52,0,0.4296875,71.8893878520915
62,0,0.7421875,122.062650328093
51,0,0.96875,4058.77845001437
51,0,0.984375,3063.6531138885
52,0,0.671875,82.7949359479278
51,0,0.6953125,3417.44130614931
52,0,0.046875,70.0309660903069
52,0,0.453125,107.053923504999
52,0,0.59375,83.7701095571534
51,0,0.5078125,4158.55683010169
51,0,0.609375,2996.63644739939
51,0,0.8203125,2705.46820209296
52,0,0.40625,109.808034894083
51,0,0.703125,2492.12396255435
61,0,1.265625,2550.55748454405
51,99,NaN,2709.35988359977
61,0,0.8828125,2365.2570634335
62,0,0.7265625,149.808878239883
52,0,0.0078125,61.5634896099854
51,0,0.8515625,3498.74608261679
52,0,0.375,92.639833376185
52,0,0.0078125,141.815710050644
52,0,0.484375,143.620824328734
52,0,0.5546875,66.5239209252579
52,0,0.578125,82.4745538318106
51,0,0.703125,4352.34093778958
51,0,0.484375,3806.35058760452
51,0,0.53125,3304.42691035767
61,0,0.625,2676.97696639257
52,0,0.0078125,188.602333261674
52,0,0.0078125,153.465493656192
51,0,0.59375,4180.57688491859
52,0,0.0078125,142.381277538088
51,0,0.6875,2999.09478898445
52,0,0.0078125,60.3239033228156
52,0,0.5078125,93.4011015040317
52,0,0.15625,105.534534554693
51,0,0.625,5207.83701308548
51,0,0.8203125,3880.8957375774
51,0,0.4765625,3028.82541160186
52,0,0.0078125,151.160135875859
52,0,0.5,119.134255726925
51,0,0.4609375,3912.84506222402
61,0,0.7578125,3532.80925169658
62,0,0.3984375,162.109210954095
52,0,0.0078125,89.4378085163098
52,0,0.515625,89.0566984433241
51,0,0.8203125,4027.32462268087
51,0,0.625,3645.25807923301
62,0,0.0078125,64.650754864357
61,0,1.3203125,3473.83807320044
62,0,0.0078125,117.704160283178
62,0,0.2265625,104.009293249977
62,0,0.0078125,173.619367083527
52,0,0.0078125,122.611610064339
52,0,0.0078125,139.955766426888
51,0,0.7890625,5441.10812999758
51,0,0.484375,3478.50017745857
52,0,0.4765625,90.7831320925259
51,0,0.7109375,3610.69502715652
52,0,0.34375,136.572755939091
62,0,0.0078125,264.295588841837
51,0,0.4453125,3899.32401575068
51,0,0.6171875,3080.18206550569
52,0,0.0078125,178.4797457121
52,0,0.53125,147.083247189967
51,0,0.625,3845.90605531324
52,0,0.0078125,146.836662793548
61,0,0.6953125,3702.02817206985
51,0,0.703125,3963.28208724502
51,0,0.625,3124.43620759435
52,0,0.0078125,175.155522345404
51,99,NaN,3587.95876355839
51,0,0.5546875,2934.09882347879
51,0,0.7265625,3011.64023369932
61,0,0.796875,3231.73635271998
51,0,0.671875,3090.73439345776
51,0,0.8828125,3188.63486090195
51,99,NaN,2841.67336274641
51,0,0.953125,2875.26212034422
62,0,0.0078125,191.785897456173
52,0,0.65625,102.206577364902
51,0,0.7421875,4015.7849950886
61,0,0.921875,3166.02050703671
52,0,0.0078125,125.128753502083
52,0,0.5,63.8832570859486
51,0,0.7578125,4106.71895713865
52,0,0.0078125,67.1116068782738
62,0,0.515625,72.502698499111
52,0,0.0078125,53.7588043286846
52,0,0.421875,108.005517025424
51,0,0.46875,5332.86380686602
61,0,0.734375,4474.62561968293
52,0,0.4453125,104.888445615347
52,0,0.5078125,75.0908041681081
52,0,0.4609375,143.391698997269
52,0,0.0078125,85.3079136296467
51,0,0.4765625,5219.48296881915
62,0,0.0078125,95.5709521117743
51,0,0.6640625,4608.4182125896
52,0,0.0078125,172.454393241367
51,0,0.8359375,4633.16368377842
52,0,0.40625,128.279831138679
51,0,0.5625,4572.78534174389
51,0,0.53125,4020.75829052891
51,0,0.6015625,3861.31827705516
51,0,0.53125,3392.35634544837
52,0,0.4609375,94.3774941895038
52,0,0.4453125,84.0142869960211
62,0,0.3828125,51.6956209194645
52,0,0.6484375,138.425964894027
51,0,0.7265625,5489.09752991449
51,0,0.6796875,4527.22351862387
52,0,0.390625,75.3869410767836
51,0,0.6328125,4288.28559382926
51,0,0.46875,4006.23099097346
52,0,0.3828125,120.814796678885
51,0,0.6171875,3766.39464423207
52,0,0.1640625,85.1237895736718
51,0,0.515625,4328.65076497696
51,0,0.9453125,2883.80694792553
52,0,0.0078125,75.447000928082
62,0,0.0078125,108.048672292208
51,0,0.6796875,4391.9622976891
62,0,0.8984375,110.621333181238
61,0,1.0625,4550.51606305623
52,0,0.3984375,153.23167308538
52,0,0.0078125,47.9449577285803
51,0,0.59375,5526.95317927453
52,0,0.015625,70.0565823445685
52,0,0.375,75.7986053569927
52,0,0.15625,121.506423431898
52,0,0.0078125,52.7760718298908
51,0,0.5234375,5636.07468902894
52,0,0.0078125,68.0718724018958
51,0,0.5078125,4703.88187171922
62,0,0.1484375,79.1022162899067
52,0,0.0078125,67.6538424728836
51,0,0.7265625,4835.96180518676
51,0,0.4140625,4153.31989612639
61,0,0.5703125,3661.59259624804
52,0,0.3828125,82.8377768912683
52,0,0.2421875,72.3266088286082
52,0,0.0078125,113.006909228436
62,0,0.0078125,159.711991800538
52,0,0.0078125,107.912192151279
51,0,0.53125,5817.73075809002
61,99,NaN,4317.85591806131
62,0,0.0078125,114.215596806716
62,0,0.6640625,62.8516630120152
61,0,0.8515625,5069.98650842387
52,0,0.0078125,166.232775534443
51,0,0.765625,4496.05365151082
52,0,0.0078125,196.767662165209
51,0,0.6875,4577.78669571354
51,0,0.4765625,3989.81762363972
62,0,0.4921875,120.696485521242
61,0,0.78125,4263.66497789403
52,0,0.484375,104.115659097223
52,0,0.0078125,93.4513738492025
51,0,0.515625,5086.7324880055
51,0,0.7578125,3959.37471970171
51,0,0.515625,3368.57310337384
61,0,0.7578125,3172.18555378219
51,0,0.71875,3392.39744851724
51,0,0.578125,2795.0005826058
51,0,0.828125,2820.31940485124
52,0,0.6015625,93.0723836442618
61,0,0.578125,3327.9681746197
51,0,0.6328125,2696.26498490381
51,0,0.546875,3673.80512367743
51,0,0.546875,3258.54275502113
52,0,0.0078125,87.5676462608934
61,0,0.5546875,4294.8227955268
51,0,0.625,4245.22679062329
52,0,0.0078125,138.614254654066
52,0,0.0078125,72.1063042140685
52,0,0.3828125,125.787188736145
51,0,0.6015625,4846.39404520241
52,0,0.59375,65.3025726809984
52,0,0.3984375,110.284838275836
51,0,0.5703125,5405.83490204985
51,0,0.953125,4719.84298199282
52,0,0.6015625,138.108914477843
61,0,0.7578125,3988.17646473594
51,0,0.671875,3871.20305670917
52,0,0.0078125,86.6946445789976
52,0,0.4140625,78.9827736567151
51,0,0.5234375,4639.45624369217
