trigger,category,rt,amplitude
51,0,0.3046875,510.2920287075
51,0,0.296875,345.410320687247
52,60,NaN,169.768849855405
51,0,0.421875,380.290647072269
51,0,0.3984375,331.953959018635
51,99,NaN,332.867144595487
51,0,0.4296875,381.670880520882
52,0,0.25,89.4553622025724
62,99,NaN,110.67589332957
51,0,0.40625,414.371961636639
62,0,0.3203125,62.8365410319594
61,0,0.359375,636.587656509219
52,0,0.2578125,120.029817733508
51,0,0.328125,390.97682501755
51,69,NaN,300.722367306277
52,0,0.2109375,78.6721123889986
52,0,0.2890625,55.2019524342936
52,0,0.3125,54.1958335144112
52,0,0.265625,87.5645284532408
61,0,0.2421875,1312.81559494255
52,0,0.2421875,81.0698631936952
51,69,NaN,848.939580046967
61,0,0.3828125,320.941757759127
52,0,0.34375,60.1256264876389
52,0,0.203125,68.357215845635
51,0,0.6640625,492.392666191289
51,69,NaN,293.917978019478
51,0,0.390625,285.333452807744
51,69,NaN,264.819808876403
62,0,0.3203125,114.731908287363
61,69,NaN,353.386646153157
51,0,0.2890625,296.54490650582
51,99,NaN,330.607096847659
51,0,0.5703125,265.258670168731
51,0,0.3359375,207.585430208516
51,0,0.3046875,259.776060317151
51,0,0.359375,254.596872308827
51,0,0.4921875,247.022245139121
52,0,0.3125,83.5980831962566
52,0,0.1953125,79.5777105225043
51,69,NaN,756.160637509313
51,0,0.5546875,402.795033500663
61,0,0.4921875,260.702161847693
62,0,0.4609375,103.342837596038
51,0,0.3046875,321.364526110062
52,69,NaN,160.956695353756
52,60,NaN,328.284342907127
52,60,NaN,141.109555805982
51,69,NaN,395.165195525719
52,0,0.2109375,65.2604122991268
52,0,0.2109375,90.5159938479402
52,60,NaN,186.609430573052
61,0,0.4140625,448.699768823739
51,0,0.578125,446.4471744258
52,60,NaN,202.061910829587
52,0,0.28125,100.46245137766
52,60,NaN,75.3664376784449
52,60,NaN,113.433128791375
52,0,0.3046875,124.762667376297
52,60,NaN,277.538204671278
52,60,NaN,125.650488961058
51,0,0.28125,359.800711058311
62,0,0.328125,97.4757187631105
51,0,0.6171875,356.9049569081
52,91,NaN,81.290438510711
52,60,NaN,144.514362112205
61,0,0.4296875,324.18816078174
51,69,NaN,315.817342740789
