trigger,category,rt,amplitude
51,0,0.6015625,4144.88508325284
52,0,0.1875,68.5764106571587
62,0,0.0078125,54.5541617014974
51,0,0.6484375,3461.67748180983
51,0,0.640625,3625.09676697706
52,0,0.265625,100.775279268065
52,60,NaN,95.7400528940765
51,0,0.609375,4185.35724702187
52,0,0.1953125,60.7959777940358
52,0,0.0078125,92.7706805838683
62,0,0.5078125,93.6676775008912
51,0,0.796875,3333.04754264827
61,0,0.8828125,4459.67359044365
51,0,0.6328125,4035.22659926431
51,0,0.78125,3923.70320580281
51,69,NaN,3547.65487981679
51,0,0.4765625,3730.67850003778
61,0,0.5703125,4140.93747871122
51,99,NaN,5099.09465303389
62,0,0.078125,121.629424587979
51,0,0.84375,3962.8813724168
51,0,0.5703125,4633.29950241767
61,69,NaN,4907.44933534684
52,0,0.4609375,87.2913492656087
52,0,0.3984375,44.2053161582823
51,0,0.6015625,5258.22491991138
52,0,0.5078125,95.8915171071029
52,0,0.6640625,75.4208858538323
52,0,0.0078125,129.968204915428
51,0,0.640625,5078.80617033673
61,0,0.5546875,5848.50435679285
62,60,NaN,63.2201869391202
61,0,0.890625,5215.68827863877
62,0,0.6640625,55.0824454295204
61,0,0.7734375,4960.68192134183
51,0,0.7109375,4805.62875527624
51,0,0.6953125,4887.62625519482
51,69,NaN,4209.85372791603
61,0,0.6171875,4227.01037260049
52,0,0.421875,59.0327141687171
62,0,0.0390625,99.9007507715656
52,0,0.0078125,83.862248621488
52,0,0.546875,43.7120283464674
51,0,0.7265625,5544.25140916588
51,69,NaN,5727.08165197856
52,0,0.5703125,50.6240798506933
51,0,0.7734375,5105.61274320905
51,0,0.5,5068.97811738511
52,0,0.0078125,62.4239474252148
52,0,0.0078125,73.6376560108759
52,0,0.3515625,69.852794501779
51,99,NaN,8678.775510534
51,0,0.46875,7871.47419543299
52,0,0.0078125,415.531712487275
52,0,0.0078125,119.327890206468
52,0,0.375,156.420148846439
52,0,0.0078125,227.052213982363
52,0,0.0078125,103.867968256707
51,0,0.6484375,5909.24577484186
51,0,0.4296875,6240.00931035271
51,0,0.6484375,5836.8677901497
51,0,0.453125,4685.153736636
52,0,0.6171875,61.6367433557772
52,0,0.0078125,99.6836678042423
52,0,0.0078125,76.7090937812834
52,0,0.5,83.3696586589518
51,0,0.4609375,5625.64701053609
62,0,0.7265625,58.7098175639554
52,0,0.1875,103.316811267432
51,0,0.515625,4654.10188731714
51,69,NaN,2728.21900922675
51,0,0.40625,3851.65382384831
51,69,NaN,4292.9645946123
52,0,0.25,77.7260821506487
52,0,0.515625,89.2362037851353
52,0,0.453125,93.6464192284194
51,0,0.4296875,4151.88257803416
51,0,0.40625,3837.30284621526
51,0,0.3671875,3905.4410628181
51,0,0.4609375,3937.77414328687
51,0,0.390625,3936.51628213093
51,0,0.3828125,3339.24672782648
51,69,NaN,3894.39392475389
51,0,0.4375,3839.50390836232
62,0,0.59375,57.9565992299672
51,0,0.78125,3009.7860564898
51,0,0.4453125,3674.55095713249
52,0,0.3203125,47.2265610831583
52,0,0.0078125,69.6606102933726
52,0,0.0234375,49.0408789812601
52,0,0.3359375,105.898280522924
61,69,NaN,3297.20408747038
52,0,0.359375,53.5482417485578
62,0,0.5625,45.0827029960681
61,0,0.71875,3091.99945155687
62,0,0.640625,61.7695310020868
61,69,NaN,3276.48316508557
52,0,0.03125,93.8790900015634
51,0,0.7109375,2217.20581421703
52,0,0.390625,56.3364202402905
52,0,0.0078125,99.3078961289898
52,99,NaN,98.4193799829458
62,0,0.0078125,47.6238426265484
61,0,0.9765625,2690.22329377011
51,0,0.8828125,4371.60613743037
52,0,0.421875,52.4412620353469
51,0,0.7265625,3688.82434513273
51,0,0.5859375,3973.16691068823
61,0,0.8359375,3654.23780077422
51,0,0.5234375,3041.24211327385
51,69,NaN,3725.4160237126
51,0,0.546875,4248.33166763458
51,0,0.46875,3739.72923118646
52,60,NaN,115.097912211588
51,0,0.40625,3378.85916738458
62,0,0.6640625,128.292981123523
51,0,0.5703125,3091.83046541817
52,0,0.640625,75.2890687288507
61,0,0.734375,3246.49743594129
51,0,0.6171875,2675.74269617663
51,0,0.5,2952.6535336097
51,0,0.625,2578.77713461095
51,0,0.5703125,3010.12696905567
62,0,0.0078125,151.389262804182
51,0,0.7109375,2729.72714154139
52,99,NaN,63.4323693243788
51,0,1.0078125,4211.77846092766
52,0,0.5,55.4474183255013
52,0,0.390625,103.067451646966
52,0,0.2890625,64.581922494096
52,0,0.078125,66.5685658085678
62,0,0.6953125,86.4415994126495
61,69,NaN,2167.46232203461
52,0,0.59375,70.6814523197878
51,0,0.53125,3525.83584049517
51,0,0.4921875,3725.14047348553
62,0,0.1796875,75.2075941758581
52,0,0.4921875,98.3929467411411
52,0,0.0078125,156.235823912865
52,0,0.0078125,72.8099741316184
52,0,0.3125,76.7171415630293
52,0,0.328125,125.837624232257
51,0,0.7265625,2467.10438819494
61,69,NaN,3491.03237845431
61,99,NaN,3927.06147528522
52,0,0.4453125,102.950381009598
62,0,0.6953125,117.869085500793
52,0,0.4375,120.339893889252
51,0,0.875,3682.15204397208
52,0,0.5703125,109.863060696115
51,0,0.59375,2900.71976049603
62,0,1.390625,109.310451531937
52,0,0.0078125,122.465345336829
51,0,0.6015625,2943.35738623312
51,0,0.6640625,3240.65419191915
51,0,0.4375,3510.56589483744
52,0,0.3359375,141.251639589158
52,0,0.3984375,152.341630233836
51,69,NaN,2826.46651484718
52,0,0.0078125,86.5496193026348
62,99,NaN,29.375305755692
52,0,0.0078125,94.6450543107509
52,0,0.0078125,76.6955152965526
52,0,0.6015625,76.7007059130129
52,0,0.0078125,83.9769344852668
51,69,NaN,2552.08174405506
51,0,0.4765625,2906.23806566838
51,0,0.4921875,2769.57087943073
51,0,0.46875,2686.39969644377
52,0,0.3984375,78.3779278091848
52,0,0.390625,171.356574460938
51,0,0.5546875,1660.65076951412
52,0,0.25,90.143107580551
51,0,0.390625,1600.12743592147
61,0,0.859375,2240.91560631194
52,0,0.453125,104.460991292213
52,0,0.3203125,42.9927486198993
52,0,0.421875,52.4540036129429
51,0,0.46875,2283.49859184844
52,0,0.3671875,110.945788340886
52,60,NaN,122.147906997967
51,69,NaN,1970.66968911093
61,0,0.9140625,1879.63854743706
52,0,0.0078125,88.9321539812656
51,0,0.4765625,1345.73429550014
52,99,NaN,80.404562659299
61,69,NaN,1791.630674708
62,0,0.7109375,104.616239000483
62,0,0.1171875,114.549793952192
51,99,NaN,1878.85969752149
51,0,0.5859375,1691.19291473692
52,60,NaN,120.152989383758
51,0,0.859375,1612.88721122689
52,0,0.5390625,87.1459689264327
61,0,0.6953125,1718.26015196669
52,0,0.4296875,68.0602049104895
52,0,0.0078125,51.3827180306586
52,0,0.359375,79.1316857112141
52,0,0.171875,112.231105480869
51,99,NaN,2309.73635745604
