subjid,isExcluded_Rp,isExcluded_Ts,AN_val_meanRT_Rp,AN_inval_meanRT_Rp,AN_val_sdRT_Rp,AN_inval_sdRT_Rp,AN_val_nErrorTrials_Rp,AN_inval_nErrorTrials_Rp,AN_val_nFpTrials_Rp,AN_inval_nFpTrials_Rp,AN_val_nOl1Trials_Rp,AN_inval_nOl1Trials_Rp,AN_val_nOl2Trials_Rp,AN_inval_nOl2Trials_Rp,AN_val_nOmissionTrials_Rp,AN_inval_nOmissionTrials_Rp,AN_val_nHitTrials_Rp,AN_inval_nHitTrials_Rp,AN_val_nCleanTrials_Rp,AN_inval_nCleanTrials_Rp,AN_val_MeanMaxAmp_Rp,AN_inval_MeanMaxAmp_Rp,AN_val_SdMaxAmp_Rp,AN_inval_SdMaxAmp_Rp,HA_val_meanRT_Rp,HA_inval_meanRT_Rp,HA_val_sdRT_Rp,HA_inval_sdRT_Rp,HA_val_nErrorTrials_Rp,HA_inval_nErrorTrials_Rp,HA_val_nFpTrials_Rp,HA_inval_nFpTrials_Rp,HA_val_nOl1Trials_Rp,HA_inval_nOl1Trials_Rp,HA_val_nOl2Trials_Rp,HA_inval_nOl2Trials_Rp,HA_val_nOmissionTrials_Rp,HA_inval_nOmissionTrials_Rp,HA_val_nHitTrials_Rp,HA_inval_nHitTrials_Rp,HA_val_nCleanTrials_Rp,HA_inval_nCleanTrials_Rp,HA_val_MeanMaxAmp_Rp,HA_inval_MeanMaxAmp_Rp,HA_val_SdMaxAmp_Rp,HA_inval_SdMaxAmp_Rp
VP01,yes,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VP02,no,no,0.60654,0.68086,0.17598,0.11591,0,0,0,0,5,0,0,0,0,0,80,20,80,20,7640.6171,7889.97,2463.1961,1879.8521,0.68938,0.87422,0.1607,0.095848,0,0,0,0,4,1,0,0,1,0,79,20,80,20,651.6403,704.8364,126.2909,144.9376
VP03,yes,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VP04,no,no,0.77115,0.75868,0.3178,0.24047,3,1,0,0,5,0,0,0,2,1,75,18,77,19,1745.3474,2142.1485,922.6851,707.3883,0.87829,1.1938,0.21494,0.22594,1,0,0,0,2,1,0,0,3,0,76,20,79,20,353.7681,359.4755,109.9372,86.4639
VP05,no,yes,0.76838,0.7678,0.18049,0.2146,12,2,0,0,2,1,0,0,0,0,68,18,68,18,3981.5202,3658.9039,1506.7412,1230.0107,0.63317,0.72569,0.49678,0.63102,12,9,0,0,4,1,0,0,3,2,65,9,68,11,92.6263,131.6088,34.3878,62.143
VP06,no,no,0.55137,0.61678,0.1395,0.14456,7,1,0,0,4,1,0,0,0,0,73,19,73,19,1503.4337,1406.128,653.1501,459.5993,0.49262,0.49023,0.36012,0.16786,3,0,4,0,3,1,0,1,0,0,73,20,77,20,131.7296,118.2675,52.2882,25.4123
VP07,no,no,0.96419,1.2091,0.25115,0.28107,17,7,1,0,2,0,0,0,2,0,60,13,63,13,1494.6101,1692.244,547.73,755.8647,1.0352,1.1676,0.5617,0.67426,18,9,1,0,1,0,0,0,3,0,58,11,62,11,74.6194,81.7462,30.551,29.7157
VP08,no,no,0.78906,0.93506,0.28743,0.46032,3,2,1,0,3,2,0,0,5,2,71,16,77,18,2121.9229,1933.2207,1458.0271,1490.0469,1.0142,1.0567,0.67732,0.65707,8,0,0,0,1,0,0,0,4,1,68,19,72,20,143.5105,141.7029,56.4717,55.9259
VP09,no,no,0.66972,0.78979,0.21776,0.16519,3,0,0,0,4,1,0,0,0,0,77,20,77,20,3548.215,3691.541,1486.4019,1978.1069,1.4327,1.4731,0.3683,0.43458,3,0,0,0,2,0,3,1,5,0,72,20,77,20,198.7752,225.9366,66.6966,63.9893
VP10,no,no,0.64651,0.81016,0.14349,0.25992,6,0,0,0,0,0,0,0,1,0,73,20,74,20,2174.6024,2226.6424,434.4146,503.3342,0.86556,0.76809,0.37562,0.30468,3,1,0,0,1,0,0,0,5,0,72,19,77,19,104.3492,125.6378,40.1717,32.8827
VP11,yes,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VP12,no,no,0.7043,0.71484,0.19904,0.21266,0,1,0,0,4,1,0,0,0,1,80,18,80,19,2041.9539,1911.746,513.2192,517.7002,0.59438,0.74794,0.18383,0.2016,1,1,0,0,2,1,0,0,5,0,74,19,79,19,124.9192,142.8838,37.5435,37.1071
