subjid,isExcluded_Rp,isExcluded_Ts,AN_val_1_meanRT_Ts_fine,AN_val_2_meanRT_Ts_fine,AN_inval_1_meanRT_Ts_fine,AN_inval_2_meanRT_Ts_fine,AN_inval_3_meanRT_Ts_fine,AN_val_1_sdRT_Ts_fine,AN_val_2_sdRT_Ts_fine,AN_inval_1_sdRT_Ts_fine,AN_inval_2_sdRT_Ts_fine,AN_inval_3_sdRT_Ts_fine,AN_val_1_nErrorTrials_Ts_fine,AN_val_2_nErrorTrials_Ts_fine,AN_inval_1_nErrorTrials_Ts_fine,AN_inval_2_nErrorTrials_Ts_fine,AN_inval_3_nErrorTrials_Ts_fine,AN_val_1_nFpTrials_Ts_fine,AN_val_2_nFpTrials_Ts_fine,AN_inval_1_nFpTrials_Ts_fine,AN_inval_2_nFpTrials_Ts_fine,AN_inval_3_nFpTrials_Ts_fine,AN_val_1_nOl1Trials_Ts_fine,AN_val_2_nOl1Trials_Ts_fine,AN_inval_1_nOl1Trials_Ts_fine,AN_inval_2_nOl1Trials_Ts_fine,AN_inval_3_nOl1Trials_Ts_fine,AN_val_1_nOl2Trials_Ts_fine,AN_val_2_nOl2Trials_Ts_fine,AN_inval_1_nOl2Trials_Ts_fine,AN_inval_2_nOl2Trials_Ts_fine,AN_inval_3_nOl2Trials_Ts_fine,AN_val_1_nOmissionTrials_Ts_fine,AN_val_2_nOmissionTrials_Ts_fine,AN_inval_1_nOmissionTrials_Ts_fine,AN_inval_2_nOmissionTrials_Ts_fine,AN_inval_3_nOmissionTrials_Ts_fine,AN_val_1_nHitTrials_Ts_fine,AN_val_2_nHitTrials_Ts_fine,AN_inval_1_nHitTrials_Ts_fine,AN_inval_2_nHitTrials_Ts_fine,AN_inval_3_nHitTrials_Ts_fine,AN_val_1_nCleanTrials_Ts_fine,AN_val_2_nCleanTrials_Ts_fine,AN_inval_1_nCleanTrials_Ts_fine,AN_inval_2_nCleanTrials_Ts_fine,AN_inval_3_nCleanTrials_Ts_fine,AN_val_1_MeanMaxAmp_Ts_fine,AN_val_2_MeanMaxAmp_Ts_fine,AN_inval_1_MeanMaxAmp_Ts_fine,AN_inval_2_MeanMaxAmp_Ts_fine,AN_inval_3_MeanMaxAmp_Ts_fine,AN_val_1_SdMaxAmp_Ts_fine,AN_val_2_SdMaxAmp_Ts_fine,AN_inval_1_SdMaxAmp_Ts_fine,AN_inval_2_SdMaxAmp_Ts_fine,AN_inval_3_SdMaxAmp_Ts_fine,HA_val_1_meanRT_Ts_fine,HA_val_2_meanRT_Ts_fine,HA_inval_1_meanRT_Ts_fine,HA_inval_2_meanRT_Ts_fine,HA_inval_3_meanRT_Ts_fine,HA_val_1_sdRT_Ts_fine,HA_val_2_sdRT_Ts_fine,HA_inval_1_sdRT_Ts_fine,HA_inval_2_sdRT_Ts_fine,HA_inval_3_sdRT_Ts_fine,HA_val_1_nErrorTrials_Ts_fine,HA_val_2_nErrorTrials_Ts_fine,HA_inval_1_nErrorTrials_Ts_fine,HA_inval_2_nErrorTrials_Ts_fine,HA_inval_3_nErrorTrials_Ts_fine,HA_val_1_nFpTrials_Ts_fine,HA_val_2_nFpTrials_Ts_fine,HA_inval_1_nFpTrials_Ts_fine,HA_inval_2_nFpTrials_Ts_fine,HA_inval_3_nFpTrials_Ts_fine,HA_val_1_nOl1Trials_Ts_fine,HA_val_2_nOl1Trials_Ts_fine,HA_inval_1_nOl1Trials_Ts_fine,HA_inval_2_nOl1Trials_Ts_fine,HA_inval_3_nOl1Trials_Ts_fine,HA_val_1_nOl2Trials_Ts_fine,HA_val_2_nOl2Trials_Ts_fine,HA_inval_1_nOl2Trials_Ts_fine,HA_inval_2_nOl2Trials_Ts_fine,HA_inval_3_nOl2Trials_Ts_fine,HA_val_1_nOmissionTrials_Ts_fine,HA_val_2_nOmissionTrials_Ts_fine,HA_inval_1_nOmissionTrials_Ts_fine,HA_inval_2_nOmissionTrials_Ts_fine,HA_inval_3_nOmissionTrials_Ts_fine,HA_val_1_nHitTrials_Ts_fine,HA_val_2_nHitTrials_Ts_fine,HA_inval_1_nHitTrials_Ts_fine,HA_inval_2_nHitTrials_Ts_fine,HA_inval_3_nHitTrials_Ts_fine,HA_val_1_nCleanTrials_Ts_fine,HA_val_2_nCleanTrials_Ts_fine,HA_inval_1_nCleanTrials_Ts_fine,HA_inval_2_nCleanTrials_Ts_fine,HA_inval_3_nCleanTrials_Ts_fine,HA_val_1_MeanMaxAmp_Ts_fine,HA_val_2_MeanMaxAmp_Ts_fine,HA_inval_1_MeanMaxAmp_Ts_fine,HA_inval_2_MeanMaxAmp_Ts_fine,HA_inval_3_MeanMaxAmp_Ts_fine,HA_val_1_SdMaxAmp_Ts_fine,HA_val_2_SdMaxAmp_Ts_fine,HA_inval_1_SdMaxAmp_Ts_fine,HA_inval_2_SdMaxAmp_Ts_fine,HA_inval_3_SdMaxAmp_Ts_fine
VP01,yes,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VP02,no,no,0.55676,0.58015,0.57959,0.56297,0.5405,0.19131,0.14043,0.10606,0.13766,0.12664,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,0,0,1,0,0,1,0,0,0,0,64,27,16,33,38,65,27,16,33,38,11505.698,11249.9048,11655.7284,12452.5151,13147.2932,2855.0441,2124.482,2745.3965,2283.022,2867.791,0.61076,0.66823,0.69971,0.66468,0.61377,0.12584,0.15144,0.1412,0.16935,0.090195,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,1,1,0,0,0,1,62,30,16,38,32,63,30,16,38,33,585.6933,525.6977,602.3569,571.3403,534.3016,186.6766,133.5713,165.6439,128.7534,148.3697
VP03,yes,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VP04,no,no,0.76336,0.62943,0.80469,0.71615,0.66955,0.37184,0.19994,0.31605,0.23806,0.23398,0,0,0,0,0,0,0,0,0,0,5,2,1,1,2,0,0,0,0,0,0,0,0,0,0,62,30,20,30,37,62,30,20,30,37,1492.0458,1354.7931,2108.975,1768.7962,2072.8664,1020.0541,985.4463,523.9116,688.685,873.913,0.91499,0.89349,0.95459,0.86279,0.86863,0.17945,0.14139,0.21362,0.13691,0.1441,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,1,0,0,1,1,0,1,0,1,59,30,16,32,38,61,31,17,32,39,210.9918,202.8325,199.8319,243.6566,252.7695,53.3015,47.8437,54.3367,52.6961,64.727
VP05,no,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VP06,no,no,0.49959,0.51941,0.53125,0.49038,0.50872,0.07138,0.051185,0.085844,0.09117,0.099191,1,1,0,0,1,0,0,0,0,0,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,57,31,20,26,43,57,31,20,26,43,1476.8091,1305.982,1741.8621,1677.896,1693.5747,438.4397,235.3985,491.4901,390.043,317.8018,0.3715,0.46484,0.37109,0.3775,0.39063,0.069156,0.22896,0.055272,0.067422,0.13711,0,1,0,0,1,0,1,0,0,0,2,3,2,1,3,2,0,0,0,0,0,0,0,0,0,58,30,20,25,43,58,31,20,25,43,77.838,84.6211,75.6652,80.3539,83.9521,19.389,46.1113,15.6847,22.1756,19.1088
VP07,no,no,0.72673,0.7041,0.77783,0.75458,0.77812,0.19508,0.22761,0.1813,0.20629,0.19489,10,1,0,4,3,1,0,0,0,0,3,2,0,1,1,0,0,1,0,0,0,0,0,0,0,48,32,16,29,35,49,32,16,29,35,1451.1357,1318.7854,1492.0474,1711.1785,1735.8307,336.8561,273.2639,209.0376,367.5069,407.802,1.0103,0.94759,0.77083,0.93174,0.89522,0.4985,0.47367,0.36217,0.62654,0.51932,5,1,1,5,6,0,0,0,0,0,3,1,0,1,4,0,0,0,0,0,5,3,4,2,2,51,24,15,19,34,56,27,19,21,36,67.4257,68.3449,70.7459,67.9118,67.5431,29.5426,33.9259,74.9739,26.8867,24.8812
VP08,no,no,0.53529,0.5902,0.55469,0.53711,0.5346,0.087343,0.091048,0.07299,0.089396,0.070803,0,0,0,0,1,0,0,0,0,1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,58,33,15,36,35,58,33,15,36,36,2338.1213,1888.5094,2603.066,2992.8145,2652.1582,1183.7822,964.6372,804.1082,1835.5138,1479.7107,0.63367,0.72405,0.69629,0.64312,0.53188,0.22846,0.2627,0.51378,0.4131,0.25923,0,0,1,0,0,0,0,0,0,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,64,28,24,25,37,64,28,24,25,38,112.2227,119.6488,108.4893,100.926,108.0136,28.7627,21.6417,27.3086,25.1616,26.7526
VP09,no,no,0.78127,0.87588,0.79457,0.79951,0.742,0.23926,0.18268,0.12086,0.17577,0.13263,5,2,0,0,0,1,0,0,0,0,1,1,1,2,2,0,0,1,0,0,2,1,0,0,0,50,31,14,36,37,53,32,14,36,37,1626.2548,1374.5855,1943.3048,2323.233,2770.7509,1103.4817,821.6473,770.5084,1128.1833,1248.1558,1.2755,1.2049,1.3479,1.3265,1.3465,0.469,0.50968,0.27577,0.28711,0.34276,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,6,0,3,1,2,58,28,18,22,40,64,28,21,23,42,119.1566,98.6712,111.6658,125.5826,123.9457,58.6221,39.2572,40.5014,48.4216,41.6287
VP10,no,no,0.62235,0.6651,0.58936,0.52508,0.54224,0.17164,0.25186,0.075636,0.12776,0.10481,1,4,0,1,1,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,56,30,16,38,32,56,30,16,38,32,2074.9864,1845.3957,2187.3621,2372.4008,2466.9406,1113.3509,951.0558,1143.4193,859.4482,1076.7443,0.98924,1.0483,0.98008,0.77753,0.90654,0.63187,0.64477,0.47744,0.52828,0.61615,4,2,2,1,7,0,0,0,0,0,2,2,1,0,3,0,0,0,0,0,7,2,4,2,6,53,22,20,21,27,60,24,24,23,33,87.1809,96.7658,85.5793,96.6491,123.2343,48.4026,47.8024,65.318,69.5523,90.8783
