trigger,category,rt,amplitude
52,0,0.625,238.465815632907
51,0,0.609375,2832.49021064527
51,0,0.3984375,2058.615074582
51,69,NaN,1969.73546928352
61,69,NaN,2357.48597779749
61,0,0.3984375,1867.3424991476
51,0,0.828125,2225.83447782039
52,0,0.203125,187.634622961854
51,0,0.3828125,1701.52573486784
52,0,0.4765625,228.52171810137
51,0,0.4140625,1953.61350572552
52,0,0.7578125,187.183808378223
51,0,0.5234375,2214.56879152765
51,0,0.546875,2027.91693638497
51,0,0.390625,1607.31877502103
51,0,0.46875,1474.89340299752
51,0,0.3828125,1364.29073953573
51,0,0.421875,1446.70629151391
61,0,0.609375,1325.49931254445
52,0,0.3125,245.762034032982
52,0,0.3671875,256.139524453312
52,0,0.8984375,196.15918191978
51,0,0.7421875,942.944868920312
52,0,0.8515625,213.103184410723
51,0,0.3984375,1241.47494322828
62,91,NaN,165.303026513171
51,99,NaN,861.050443657435
51,0,0.4140625,917.053978399179
52,60,NaN,223.179846256491
62,0,0.6328125,153.670095542229
52,0,0.4140625,188.60763040082
62,0,0.625,141.170605633556
52,0,0.5078125,122.447733750114
52,0,0.5078125,99.5367352580559
61,0,0.7109375,1660.10879405843
52,0,0.6640625,309.843753491886
62,0,0.359375,133.96698071373
51,0,0.421875,1986.12390243166
62,0,0.3828125,134.154547246058
52,0,1.078125,105.079572330593
62,0,0.6484375,101.971419290458
51,0,0.78125,2391.34899368749
62,0,0.4296875,127.117911258428
52,0,0.4453125,175.395274768151
61,0,0.59375,1609.04021976485
51,69,NaN,1528.27843100139
51,0,0.5703125,1681.83908819496
61,0,0.6015625,1040.46686830695
52,60,NaN,224.72197510364
52,60,NaN,171.945050894797
52,0,0.640625,157.287462858771
51,99,NaN,1296.90502285772
51,0,0.7890625,1186.70481467526
51,0,0.6015625,953.65354572527
52,0,0.46875,129.893370067375
52,0,0.40625,160.839047132419
52,0,0.3671875,85.2104736307864
52,0,0.2734375,132.671060476509
52,0,0.0546875,128.454349983107
52,0,0.2890625,120.653653840792
52,0,0.2734375,81.5718840105789
51,0,0.4453125,3366.51873875103
52,0,0.3671875,72.1838339962127
52,0,0.25,102.111051099322
52,0,0.3125,110.658757661544
51,0,0.4140625,3294.46408712964
52,0,0.9375,179.109958914594
51,0,0.3984375,2499.97324541386
52,0,0.34375,107.952911474022
52,0,0.2890625,147.624204694755
52,0,0.2890625,84.1591035472583
52,0,0.2734375,120.317668824226
52,0,0.2421875,95.3366422624243
51,0,0.3828125,3735.34508489342
62,0,0.53125,124.140928425925
51,0,0.46875,2141.94617599092
61,0,0.71875,1754.64346334974
51,0,0.703125,1150.44289390867
61,0,0.5078125,1390.10872810671
51,99,NaN,1035.67143336214
51,0,0.625,1088.16626651747
62,0,0.5390625,151.325024356966
52,0,0.40625,132.13213265433
51,0,0.5234375,1999.73865233774
51,0,0.71875,2196.64709096326
52,0,0.390625,192.34836108923
62,0,0.5703125,110.062695634685
52,0,0.4375,125.801344480038
62,0,0.484375,118.0459193543
51,0,0.5390625,2251.05176293998
51,0,0.703125,1545.16450517134
61,0,0.5078125,934.669567955284
61,0,0.53125,855.094148132357
52,99,NaN,171.171554677666
52,0,0.328125,123.946131123903
52,0,0.359375,111.742186833726
52,99,NaN,97.3220395283693
61,0,0.6484375,1924.36740530395
52,0,0.3125,94.2394738266886
51,0,0.609375,1384.2856302427
51,0,0.453125,1953.17330141648
51,0,0.4140625,1686.19643450592
51,0,0.515625,1070.78332570508
51,0,0.5546875,760.697657865462
52,0,0.296875,204.001427889277
51,0,0.6015625,1621.00192967198
51,0,0.4453125,812.460240137831
52,0,0.7890625,207.834257765273
52,0,0.265625,111.067839518128
52,0,0.2734375,133.848575856473
52,0,0.2734375,94.1272717627123
52,0,0.3203125,94.2940477652973
51,0,0.390625,2097.76308899757
51,0,0.4296875,811.386757497172
52,0,0.328125,95.2947297831552
62,0,0.6328125,112.961916465083
52,50,NaN,59.923246393602
61,0,0.4921875,1216.63825531952
51,0,0.6328125,1034.78725349367
51,0,0.6484375,1125.1377647972
52,0,0.328125,100.64648107321
51,0,0.5546875,1034.24800221258
52,0,0.8671875,164.152315215704
51,0,0.453125,1599.82278435723
52,0,0.328125,94.7302626707326
52,0,0.2734375,114.622607952051
52,0,0.2734375,110.348483157539
52,0,0.2890625,69.3349425624778
52,0,0.234375,88.53467280092
52,0,0.2421875,83.4711575882433
51,0,0.4375,2040.44418997168
51,0,0.390625,1850.08397073734
52,0,0.25,86.2887229400903
52,0,0.265625,128.005870559463
51,0,0.4453125,1417.02647694669
51,0,0.5078125,962.319310349964
62,0,0.5703125,82.7808605098312
52,0,0.328125,114.795804441889
