subjid,date,first_block,happy_letter,pseudonym,alter,geschlecht,state_mood_1,state_ruhig_1,state_erregt_1,state_wach_1,state_mued_1,state_mood_2,state_ruhig_2,state_erregt_2,state_wach_2,state_mued_2,psyc,TS_l_strat1,TS_l_strat2,TS_l_strat3,TS_l_strat4,TS_l_stratC,TS_l_stratCtxt,TS_l_gefuehl,TS_l_freu,TS_l_aerg,RP_strat1,RP_strat2,RP_strat3,RP_strat4,RP_stratC,RP_stratCtxt,RP_gefuehl,RP_freu,RP_aerg
VP01,09-Jun-2016 12:21:12,2,M,HARORO01BR,23,2,2,3,3,1,4,3,3,3,3,3,0,1,0,0,1,"Nach dem 3 mal kam immer der jeweils andere Befehl. Am höchsten war die Wahrscheinlichkeit eines Wechsels nach zwei Wiederholungen. Keine sichere Methode, aber intuitiv und daher schwer zu unterdrücken.","Zunächst hatte ich Angst Fehler zu machen. Nach der Eingewöhnung kam ein Jucken hinzu, bei dem ich mir nicht sicher war, ob ich es kratzen durfte. Dann traten Müdigkeitserscheinungen auf, vermutlich aufgrund der vielen Wiederholungen.",3,5,1,0,1,0,0,0,0,"Obwohl die Aufgabe abwechslungsreicher als die erste war, trat der Ermüdungseffekt verstärkt auf. Zu Beginn war es schwierig den Gesichtsausdruck nicht direkt zu zeigen.",5,3
VP02,09-Jun-2016 12:21:12,1,w,ZAGRMA01BA,26,1,3,1,5,2,2,2,2,5,3,2,1,0,1,0,0,0,0,"Ich müsste weniger aufpassen was falsches zu machen, alles andere gleich wie bei der ersten Aufgabe.",2,3,1,0,0,0,0,Beim Lächeln bekamm ich eine bessere Laune.,2,3,1
VP04,09-Jun-2016 12:21:12,2,M,DRBLHö09MO,21,1,4,3,3,3,2,4,3,3,4,4,0,0,0,0,1,"Ich habe versucht an Menschen zu denken, die in mir Ärger oder Freude auslösen und sie jeweils einem Buchstaben zugeordnet.","Am Anfang hat es sich sehr merkwürdig angefühlt und ich fand es schwierig die Emotionen auf Knopfdruck abzurufen. Mit der Zeit wurde es besser, allerdings wurde man auch stätig müder. Es war deutlich einfacher für mich, schnell zu lächeln und Freude zu zeigen.",2,4,1,0,1,1,0,0,0,Die zweite Aufgabe war abwechslungsreicher als die erste. Allerdings wurde ich zum Ende hin sehr müde und es fiel schwer die Konzentration aufrecht zuhalten.,4,4
VP05,09-Jun-2016 12:21:12,1,M,KIBLME12US,22,1,1,1,4,2,3,2,1,4,3,2,0,0,0,0,0,1,"Ich habe M und W mit Wörtern assoziiert, die mit Ärger oder Freude zu tun haben","Die Gesichtsausdrücke kamen so schnell hintereinander, dass sie sich nicht mehr wirklich echt angefühlt haben.",3,4,0,0,1,0,0,"Es hat sich merkwürdig angefühlt, direkt nach dem gefragten Emotionsausdruck wieder zu einem neutralen Ausdruck zurückzukehren, gerade nach einem freudigen Ausdruck. Außerdem haben sich die Gesichtsausdrücke irgendwann nicht mehr ganz so authentisch angefühlt.",2,4,1
VP06,09-Jun-2016 12:21:12,1,M,HAROFR11FR,20,1,1,1,5,2,4,3,1,5,3,3,0,0,1,0,0,0,0,zu beginn einfacher. da w wie zusammengezogene augenbrauen ist undm in der mitte vom M ist ein V was wie ein lächeln aussieht. zum ende hatrte ich ellerdings kaum noch konzentration,5,5,0,0,0,1,ich habe versucht ein muster zu finden und mich teilweise gefragt ob ich auf eine bestimmt antwort habituiert werde,"am anfang sehr einfach, aber zum ende hin immer quälender weil die konzentration nachlässt und es anstrengend ist auf einen bildschirm zu gucken",5,2,1
VP07,09-Jun-2016 12:21:12,2,w,MILISI10RO,29,1,3,2,5,1,5,3,1,5,3,4,0,1,0,0,0,0,Sehr langweilig,5,5,2,0,0,1,0,0,0,Sehr anstrengend. Ich musste mich stark konzentrieren um die richtigen Gesichtsausdrücke darzustellen.,3,3
VP08,09-Jun-2016 12:21:12,2,M,HAGRME04SR,20,1,2,2,4,2,4,2,2,4,3,3,1,0,1,1,0,0,"Am Anfang habe ich versucht möglichst echte Emotionen zu erzeugen, am Ende war es eher automatisch.",3,3,1,1,0,0,1,0,0,"Ich musste mich mehr konzentrieren, dennoch fiel es mir leichter meine Aufmerksamkeit aufrecht zuerhalten.",3,3
VP09,09-Jun-2016 12:21:12,1,M,HAGRAN10MA,21,1,2,1,4,1,5,2,2,3,2,4,0,0,0,0,0,1,Ich habe mir für M Mario und für W Wario (aus Supermario) vorgestellt und mich immer in die hineinversetzt. Mario ist ja immer super fröhlich und Wario ist der Grummel,"So ähnlich wie die erste Aufgabe. Nach einer Weile wieder etwas ermüdend - aber tatsächlich ein wenig einfacher als die erste Aufgabe, da man sich hier nicht so sehr auf das Unerwartete konzentrieren musste.",2,2,0,1,0,0,0,"Etwas befremdlich, da gerade der starke Ausdruck eines ärgerlichen Gesichtsausdrucks im Alltag -immerhin bei mir- nicht so häufig vorkommt-",2,3,1
VP10,09-Jun-2016 12:21:12,2,w,STGRKL07PO,27,1,2,2,4,1,5,2,2,4,2,4,0,0,0,0,1,"Ich habe versucht, mir eine bestimmte, Freude oder Ärger auslösende Situation vorzustellen.","Es war ungewohnt, besonders Ärger auszudrücken. Mit der Zeit wurde es regelrecht anstrengens, was dann aber wiederum half, Ärger zu zeigen.",2,4,1,0,0,0,0,1,"Ich habe mir innerlich eine Geschichte mit Ereignissen, die Freude und Ärger auslösen klnnen, erzählt und dann darauf mit Freude oder Ärger reagiert, je nachdem, ob sie eingtroffen sind, oder nicht.","Die zweite Aufgabe fiel mir leichter als die erste. Die Aufgabe fühlte sich nicht mehr so fremd an. Mit der Vorbereitungszeit war eis einfacher, Freude oder Ärger auszudrücken. Auch folgten die Emotionen nicht mehr so schnell aufeinander, was es weniger anstrengend gestaltete.",2,2
VP11,09-Jun-2016 12:21:12,1,M,HAGRFA01PA,22,2,3,1,5,2,2,3,1,5,3,2,1,1,1,0,1,0,0,anstrengend,5,5,1,0,1,0,0,es war teilweise verwirrend aber ansonsten angenehm,5,5,2
