subjid,date,first_block,happy_letter,pseudonym,alter,geschlecht,state_mood_1,state_ruhig_1,state_erregt_1,state_wach_1,state_mued_1,state_mood_2,state_ruhig_2,state_erregt_2,state_wach_2,state_mued_2,psyc,RP_strat1,RP_strat2,RP_strat3,RP_strat4,RP_stratC,RP_stratCtxt,RP_gefuehl,RP_freu,RP_aerg,TS_l_strat1,TS_l_strat2,TS_l_strat3,TS_l_strat4,TS_l_stratC,TS_l_stratCtxt,TS_l_gefuehl,TS_l_freu,TS_l_aerg
VP02,25-Apr-2016 10:59:06,1,w,ZAGRMA01BA,26,1,3,1,5,2,2,2,2,5,3,2,1,1,0,0,0,0,Beim Lächeln bekamm ich eine bessere Laune.,2,3,1,0,1,0,0,0,0,"Ich müsste weniger aufpassen was falsches zu machen, alles andere gleich wie bei der ersten Aufgabe.",2,3
VP04,26-Apr-2016 11:14:12,2,M,DRBLHö09MO,21,1,4,3,3,3,2,4,3,3,4,4,0,0,1,1,0,0,0,Die zweite Aufgabe war abwechslungsreicher als die erste. Allerdings wurde ich zum Ende hin sehr müde und es fiel schwer die Konzentration aufrecht zuhalten.,4,4,0,0,0,1,"Ich habe versucht an Menschen zu denken, die in mir Ärger oder Freude auslösen und sie jeweils einem Buchstaben zugeordnet.","Am Anfang hat es sich sehr merkwürdig angefühlt und ich fand es schwierig die Emotionen auf Knopfdruck abzurufen. Mit der Zeit wurde es besser, allerdings wurde man auch stätig müder. Es war deutlich einfacher für mich, schnell zu lächeln und Freude zu zeigen.",2,4,1
VP05,27-Apr-2016 11:10:52,1,M,KIBLME12US,22,1,1,1,4,2,3,2,1,4,3,2,0,0,0,1,0,0,"Es hat sich merkwürdig angefühlt, direkt nach dem gefragten Emotionsausdruck wieder zu einem neutralen Ausdruck zurückzukehren, gerade nach einem freudigen Ausdruck. Außerdem haben sich die Gesichtsausdrücke irgendwann nicht mehr ganz so authentisch angefühlt.",2,4,1,0,0,0,0,1,"Ich habe M und W mit Wörtern assoziiert, die mit Ärger oder Freude zu tun haben","Die Gesichtsausdrücke kamen so schnell hintereinander, dass sie sich nicht mehr wirklich echt angefühlt haben.",3,4
VP06,02-Mai-2016 11:07:56,1,M,HAROFR11FR,20,1,1,1,5,2,4,3,1,5,3,3,0,0,0,0,1,ich habe versucht ein muster zu finden und mich teilweise gefragt ob ich auf eine bestimmt antwort habituiert werde,"am anfang sehr einfach, aber zum ende hin immer quälender weil die konzentration nachlässt und es anstrengend ist auf einen bildschirm zu gucken",5,2,1,0,1,0,0,0,0,zu beginn einfacher. da w wie zusammengezogene augenbrauen ist undm in der mitte vom M ist ein V was wie ein lächeln aussieht. zum ende hatrte ich ellerdings kaum noch konzentration,5,5
VP07,04-Mai-2016 17:00:36,2,w,MILISI10RO,29,1,3,2,5,1,5,3,1,5,3,4,0,0,0,1,0,0,0,Sehr anstrengend. Ich musste mich stark konzentrieren um die richtigen Gesichtsausdrücke darzustellen.,3,3,1,0,0,0,0,Sehr langweilig,5,5,2
VP08,06-Mai-2016 11:36:38,2,M,HAGRME04SR,20,1,2,2,4,2,4,2,2,4,3,3,1,1,0,0,1,0,0,"Ich musste mich mehr konzentrieren, dennoch fiel es mir leichter meine Aufmerksamkeit aufrecht zuerhalten.",3,3,0,1,1,0,0,"Am Anfang habe ich versucht möglichst echte Emotionen zu erzeugen, am Ende war es eher automatisch.",3,3,1
VP09,04-Jun-2016 19:05:55,1,M,HAGRAN10MA,21,1,2,1,4,1,5,2,2,3,2,4,0,0,1,0,0,0,"Etwas befremdlich, da gerade der starke Ausdruck eines �rgerlichen Gesichtsausdrucks im Alltag -immerhin bei mir- nicht so h�ufig vorkommt-",2,3,1,0,0,0,0,1,Ich habe mir f�r M Mario und f�r W Wario (aus Supermario) vorgestellt und mich immer in die hineinversetzt. Mario ist ja immer super fr�hlich und Wario ist der Grummel,"So �hnlich wie die erste Aufgabe. Nach einer Weile wieder etwas erm�dend - aber tats�chlich ein wenig einfacher als die erste Aufgabe, da man sich hier nicht so sehr auf das Unerwartete konzentrieren musste.",2,2
VP10,10-Mai-2016 11:26:12,2,w,STGRKL07PO,27,1,2,2,4,1,5,2,2,4,2,4,0,0,0,0,0,1,"Ich habe mir innerlich eine Geschichte mit Ereignissen, die Freude und Ärger auslösen klnnen, erzählt und dann darauf mit Freude oder Ärger reagiert, je nachdem, ob sie eingtroffen sind, oder nicht.","Die zweite Aufgabe fiel mir leichter als die erste. Die Aufgabe fühlte sich nicht mehr so fremd an. Mit der Vorbereitungszeit war eis einfacher, Freude oder Ärger auszudrücken. Auch folgten die Emotionen nicht mehr so schnell aufeinander, was es weniger anstrengend gestaltete.",2,2,0,0,0,1,"Ich habe versucht, mir eine bestimmte, Freude oder Ärger auslösende Situation vorzustellen.","Es war ungewohnt, besonders Ärger auszudrücken. Mit der Zeit wurde es regelrecht anstrengens, was dann aber wiederum half, Ärger zu zeigen.",2,4,1
VP11,13-Mai-2016 10:56:44,1,M,HAGRFA01PA,22,2,3,1,5,2,2,3,1,5,3,2,1,1,0,1,0,0,es war teilweise verwirrend aber ansonsten angenehm,5,5,2,1,1,0,1,0,0,anstrengend,5,5
VP12,13-Mai-2016 14:47:48,2,W,PIROSL02FU,25,1,2,2,5,2,4,3,2,4,3,3,0,0,0,0,0,1,Habe versucht mich nicht allzu sehr auf das angezeigte zu konzentrieren da es dann schwierig wurde wenn das gegenteilige gezeigt werden sollte,"es war manchmal schwierig das zu zeigen was nicht zuerst gezeigt wurde, da ich schon gemerkt habe, wie die entsprechenden muskeln anfingen zu arbeiten, sofort nachdem ich das geschriebene las",5,5,0,0,0,1,Ich habe mir eine bestimmte Situation vorgestellt in der ich wütend oder fröhlich bin,"komisch, da man sonst nicht bewusst verschiedene Ausdrücke macht wenn keine Person vor einem steht. mit der Zeit wurde es anstrengend, vorallem weil es schnell gehen muss und man auf die Buchstaben achten muss",3,3,2
