subjid,pseudonym,lfdnUnipark,pseudoUnipark,N1_sum,N2_sum,N3_sum,N4_sum,N5_sum,N6_sum,N_sum,E1_sum,E2_sum,E3_sum,E4_sum,E5_sum,E6_sum,E_sum
VP01,HARORO01BR,10,HARORO01BR,19,19,17,21,25,21,122,28,27,25,24,26,25,155
VP02,ZAGRMA01BA,16,zagrma01ba,20,20,16,24,23,19,122,32,29,23,26,23,33,166
VP03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VP04,DRBLHö09MO,14,DRBLHÖ09MO,26,19,16,21,30,23,135,33,32,26,29,28,33,181
VP05,KIBLME12US,17,KIBLME12US,20,16,13,18,21,18,106,37,28,28,26,25,36,180
VP06,HAROFR11FR,20,Harofr11fr,25,27,29,18,26,23,148,38,31,30,36,20,34,189
VP07,MILISI10RO,21,MILISI10RO,21,19,18,23,27,21,129,29,31,24,30,18,31,163
VP08,HAGRME04SR,15,HAGRME04SR,27,28,22,28,28,24,157,23,23,26,27,28,31,158
VP09,HAGRAN10MA,18,hagran10ma,21,21,17,22,28,16,125,39,30,32,31,24,37,193
VP10,STGRKL07PO,19,stgrkl07po,17,17,17,29,26,18,124,34,16,28,23,19,28,148
VP11,HAGRFA01PA,27,Hagrfa01pa,20,28,16,30,27,20,141,37,19,21,32,26,29,164
VP12,PIROSL02FU,23,Pirosl02fu,29,22,15,26,21,25,138,31,29,21,21,21,21,144
VP13,HHBLRE12DU,25,hablre12du,30,20,22,23,22,21,138,32,33,30,32,30,25,182
VP14,GIGRAN05BU,33,Gigran05bu,29,25,30,30,27,26,167,34,32,23,26,30,30,175
VP15,LüBLWö04AM,36,lüblwö04am,24,16,25,19,24,22,130,32,29,26,23,31,33,174
VP16,RUSCLU13TH,38,rusclu13th,26,29,21,22,29,19,146,30,22,21,28,31,30,162
VP17,HAGRCA05KU,26,HAGRCA05KU,19,15,15,20,23,17,109,30,32,22,23,24,32,163
VP18,DNSCER03WA,28,Dnscer03wa,22,20,21,24,22,19,128,30,23,25,28,25,28,159
VP19,RIGRCH08KR,41,rigrch08kr,14,22,15,19,19,14,103,33,33,33,24,24,34,181
VP20,HAROKU01EN,44,haroku01en,37,25,31,20,34,25,172,33,31,30,37,24,36,191
VP21,HAROME01Dä,34,Phviwe10ba,24,25,20,25,29,20,143,30,34,23,24,36,31,178
VP22,HASCRE02MA,29,Hascre02ma,18,14,19,28,25,18,122,31,21,11,20,21,28,132
VP23,HAGRTO10Tü,31,hagrto10tü,26,22,27,20,27,24,146,34,31,28,26,21,28,168
VP24,LEGRAN04ZY,51,LeGrAn04Zy,15,20,11,18,18,17,99,24,19,26,20,21,24,134
VP25,PHLIWE10BA,43,HROME01DÄ,17,27,17,23,34,21,139,31,23,19,29,25,31,158
VP26,AAGRPÜ05EN,52,AAGRPÜ05EN,31,22,31,20,26,26,156,23,31,33,26,33,23,169
VP27,RELILO02CA,55,ReliLo02ca,29,21,29,24,30,30,163,32,28,27,28,28,24,167
VP28,TRROMADEAL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VP29,FUPIKö03FR,58,Fupikö03fr,29,19,17,29,29,18,141,30,30,27,26,26,25,164
VP30,MUGRRE01LO,45,MGR01LO,27,20,18,23,27,22,137,27,27,20,27,29,31,161
VP31,IRTüSO05SC,59,IrTüSo05He,24,24,29,32,25,24,158,23,25,22,25,23,28,146
VP32,GELITH06UX,65,gelith06ux,29,20,21,27,14,19,130,27,25,18,24,22,24,140
VP33,HABLKU06RO,67,hablku06ro,30,25,32,26,34,26,173,30,27,28,36,29,33,183
VP34,BEGEEL01LA,71,begeei01la,28,27,24,26,24,22,151,31,28,22,25,23,32,161
VP35,ASGRBE12SC,70,Asgrbe12sc,23,19,22,25,34,21,144,39,27,28,32,24,39,189
VP36,WOBLWI04TR,53,NEBLWI04TR,24,22,17,19,28,20,130,33,35,25,25,23,23,164
VP37,BRSCLE05PA,32,BRSCLE05PA,18,18,23,23,24,23,129,30,32,15,19,31,22,149
VP38,JEGRAL11IS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VP39,BOORSA03GO,64,BORSA03GO,27,17,17,18,19,16,114,30,27,27,26,21,28,159
VP40,WYLIHE03ST,62,WyLiHe03St,16,17,13,16,25,10,97,31,20,31,34,25,36,177
VP41,HABLVE07VI,60,Hablvebe,25,31,29,21,32,25,163,30,28,28,36,31,31,184
VP42,HAGRMÖ01LA,78,HAGRMÖ01LA,21,20,21,25,26,18,131,32,27,28,25,30,31,173
VP43,ITLICH05Dä,73,Itlich05dä,30,20,15,19,24,13,121,36,29,37,34,21,32,189
VP44,BRBLLI05IR,69,Brblli05ir,17,16,16,19,20,17,105,31,28,29,23,25,30,166
VP45,HAGRTO08PO,79,HAGRTOAUPO,30,23,23,19,20,18,133,34,28,33,25,23,29,172
VP46,MABLZW07BE,74,Mablzw07be,15,19,15,17,21,13,100,33,31,35,32,21,30,182
