lfdn,external_lfdn,tester,dispcode,lastpage,quality,duration,p_0001,c_0001,VpnCodeUNIPARK,N1_1_R,E1_2,N2_6,E2_7_R,N3_11_R,E3_12,N4_16,E4_17_R,N5_21_R,E5_22,N6_26,E6_27_R,N1_31,E1_32_R,N2_36_R,E2_37,N3_41,E3_42_R,N4_46_R,E4_47,N5_51,E5_52_R,N6_56_R,E6_57,N1_61_R,E1_62,N2_66,E2_67_R,N3_71_R,E3_72,N4_76,E4_77_R,N5_81_R,E5_82,N6_86,E6_87_R,N1_91,E1_92_R,N2_96_R,E2_97,N3_101,E3_102_R,N4_106_R,E4_107,N5_111,E5_112_R,N6_116_R,E6_117,N1_121_R,E1_122,N2_126,E2_127_R,N3_131,E3_132,N4_136,E4_137_R,N5_141_R,E5_142,N6_146,E6_147_R,N1_151,E1_152,N2_156_R,E2_157,N3_161,E3_162_R,N4_166_R,E4_167,N5_171,E5_172,N6_176_R,E6_177,N1_181_R,E1_182,N2_186,E2_187_R,N3_191,E3_192,N4_196,E4_197,N5_201,E5_202,N6_206_R,E6_207_R,N1_211,E1_212,N2_216,E2_217,N3_221,E3_222_R,N4_226,E4_227,N5_231_R,E5_232,N6_236_R,E6_237,browser,referer,participant_browser,participant_browser_version,participant_os,participant_device,participant_brand,participant_model,participant_isbot,participant_continent,participant_country,participant_region,participant_city,participant_latitude,participant_longitude,quota,quota_assignment,page_history,hflip,vflip,output_mode,javascript,flash,session_id,language,cleaned,ats,datetime,date_of_last_access,date_of_first_mail,rts3753655,rts3753656,rts3753657,rts3753660,rts3753663,rts3753672,rts3753676,rts3753681,rts3753687,rts3770317,rts3770419,rts3770446,rts3770450,rts3770463,rts3770522,rts3770529,rts3770555
1,0,0,31,3753697,-77,1597,-99,-66,-66,5,3,3,-77,5,5,3,1,2,4,1,1,1,5,5,1,1,1,5,5,2,1,5,-77,5,2,1,4,5,5,2,1,3,5,1,1,1,4,5,2,1,1,2,5,2,1,5,5,4,5,2,3,1,5,1,1,1,5,1,2,1,4,5,1,1,1,5,4,3,5,5,3,5,5,1,1,1,2,1,3,2,5,5,4,2,5,1,4,1,1,1,5,5,5,5,5,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0",-99,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,"3753655,3753656,3753657,3753658,3753659,3753660,3753661,3753662,3753663,3753664,3753665,3753666,3753667,3753668,3753669,3753670,3753671,3753672,3753673,3753674,3753675,3753676,3753677,3753678,3753679,3753680,3753681,3753682,3753683,3753684,3753685,3753686,3753687,3753688,3753689,3753690,3753691,3753692,3753693,3753694,3753695,3753696,3753697",1,0,0,15,0,9829de4a016ebdeb3a0dcd37b100f633,1,0,1458744795,2016-03-23 14:53:15,2016-03-23 15:19:52,0000-00-00 00:00:00,28,80,105,225,346,709,831,1020,1313,0,0,0,0,0,0,0,0
2,0,0,31,3753697,-77,852,-99,-66,-66,5,3,2,1,5,5,1,1,2,4,1,1,1,4,4,3,1,1,5,5,3,1,5,5,5,3,1,3,5,5,1,2,3,5,1,2,1,3,5,4,1,1,2,5,1,1,5,5,4,4,2,3,1,5,2,1,1,4,1,2,1,4,5,1,1,1,4,4,2,5,5,4,5,5,1,1,1,3,2,3,1,5,5,1,2,5,1,4,1,1,1,5,5,3,5,5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.5.17 (KHTML, like Gecko) Version/9.1 Safari/601.5.17",-99,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,"3753655,3753656,3753657,3753660,3753663,3770555,3770529,3753672,3770522,3753676,3770317,3753681,3770463,3753687,3770450,3770446,3770419,3753697",0,1,0,16,2100,9420868a17849a9f73897c064f702b23,1,0,1460030178,2016-04-07 11:56:18,2016-04-07 12:10:30,0000-00-00 00:00:00,227,303,342,368,401,513,601,679,737,635,852,821,790,710,543,469,430
8,0,0,22,3753656,-77,67,-99,-66,suscgr11fr,0,0,0,0,0,0,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.5.17 (KHTML, like Gecko) Version/9.1 Safari/601.5.17",-99,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,"3753655,3753656,3753656,3753656",0,1,0,16,2100,0abc08848c5502c5fa8342430cffc6ec,1,0,1460032418,2016-04-07 12:33:38,2016-04-07 12:34:55,0000-00-00 00:00:00,67,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,31,3753697,-77,660,-99,-66,sablkl10ch,3,3,3,3,3,4,4,3,2,4,3,2,2,3,4,3,2,2,2,3,4,3,4,3,4,3,3,4,3,3,4,2,4,4,5,2,4,3,3,4,5,4,2,3,4,3,3,4,3,4,3,5,4,3,2,3,4,3,4,5,4,4,3,4,2,4,3,3,2,3,4,4,5,3,4,2,3,3,3,3,4,5,4,3,4,3,3,2,4,3,4,3,3,5,4,5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10586",-99,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,"3753655,3753656,3753657,3753660,3753663,3770555,3770555,3770555,3770529,3753672,3753672,3753672,3770522,3753676,3770317,3753681,3770463,3753687,3770450,3770446,3770446,3770446,3770419,3753697",1,0,0,13,2100,b389e95452e6df80afbf5929d1145116,1,0,1461141194,2016-04-20 08:33:14,2016-04-20 08:44:14,0000-00-00 00:00:00,91,125,166,196,235,344,416,493,568,444,660,641,601,528,380,305,270
24,0,0,31,3753697,-77,683,-99,-66,kalink04um,5,5,1,1,5,4,1,3,4,1,1,2,3,1,5,5,1,1,3,3,1,1,5,2,2,5,3,2,5,4,2,4,1,1,1,1,1,1,5,2,1,2,5,5,2,4,5,4,5,5,2,2,1,4,1,1,1,1,1,1,1,5,5,4,1,2,4,2,1,1,5,5,4,2,1,3,2,2,2,1,3,3,5,4,1,3,1,3,1,1,1,3,5,3,5,5,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0",-99,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,"3753655,3753656,3753657,3753660,3753663,3753663,3753663,3770555,3770529,3753672,3770522,3753676,3770317,3770317,3770317,3753681,3770463,3753687,3770450,3770446,3770419,3753697",1,1,0,15,1103,4a3d44350777203ab2e2be5a5c0f9491,1,0,1463050040,2016-05-12 10:47:20,2016-05-12 10:58:43,0000-00-00 00:00:00,111,152,204,233,277,385,450,515,585,480,683,656,628,541,422,357,311
30,0,0,22,3753656,-77,0,-99,-66,bö96,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13E238 Safari/601.1",-99,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,"3753655,3753656",0,0,0,16,0,d768caa8cd0f47af632a68713545604a,1,0,1463309058,2016-05-15 10:44:18,2016-05-15 10:44:45,0000-00-00 00:00:00,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,31,3753697,-77,707,-99,-66,mirjanna,5,4,4,3,5,2,1,2,2,2,4,1,4,2,2,4,2,2,4,4,3,5,4,4,2,5,3,4,3,3,4,2,2,4,3,2,2,2,2,4,1,3,1,4,2,4,5,4,2,4,2,2,3,4,3,2,4,3,2,3,2,3,3,2,3,4,3,2,3,4,2,3,4,2,2,3,3,4,4,4,2,4,3,4,4,2,3,2,3,4,5,3,2,2,3,4,"Mozilla/5.0 (Windows NT 10.0; rv:46.0) Gecko/20100101 Firefox/46.0",-99,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,"3753655,3753656,3753657,3753660,3753663,3770555,3770529,3753672,3770522,3753676,3770317,3753681,3753681,3753681,3770463,3753687,3770450,3770446,3770419,3753697",0,0,0,15,2100,883d4710392688c7c07d23a015f5c64f,1,0,1463486342,2016-05-17 11:59:02,2016-05-17 12:10:49,0000-00-00 00:00:00,21,49,76,100,216,305,388,509,580,400,707,688,596,571,327,280,245
39,0,0,31,3753697,-77,970,-99,-66,rogesi10ko,4,3,4,2,3,2,4,3,4,2,1,2,4,2,4,4,3,4,2,3,3,5,4,4,3,5,1,3,2,4,4,1,2,1,5,4,4,4,5,3,3,2,2,2,5,4,5,4,4,4,2,3,3,4,4,4,2,3,4,4,4,4,4,1,4,3,2,4,5,1,5,3,4,5,4,2,4,3,1,4,4,2,5,2,4,4,4,4,2,2,2,4,2,2,3,3,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0",-99,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,"3753655,3753656,3753657,3753660,3753663,3770555,3770529,3753672,3770522,3753676,3770317,3753681,3770463,3753687,3770450,3770446,3770419,3753697",0,0,0,15,2100,f81cd32458109b9a627ee8320c66b204,1,0,1463638937,2016-05-19 06:22:17,2016-05-19 06:38:27,0000-00-00 00:00:00,182,263,316,346,404,538,629,713,803,664,970,920,877,766,577,502,452
40,0,0,31,3753697,-77,634,-99,-66,OLRONO05SI,5,4,2,2,4,3,2,2,3,2,3,2,3,5,3,4,2,4,4,4,4,3,4,4,3,5,3,1,3,4,4,2,2,4,4,2,3,1,3,5,2,3,2,3,4,2,3,3,2,5,2,2,4,3,3,2,2,4,5,2,3,5,2,3,2,3,3,3,4,4,2,4,2,4,3,1,2,2,3,4,4,3,3,3,3,4,3,5,3,3,3,4,3,3,3,4,"Mozilla/5.0 (Windows NT 6.1; rv:46.0) Gecko/20100101 Firefox/46.0",-99,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,"3753655,3753656,3753657,3753660,3753663,3770555,3770529,3753672,3770522,3753676,3770317,3753681,3770463,3753687,3770450,3770446,3770419,3753697",0,0,0,15,2100,f2b37fc42bc0b4d68cf6c02c67190c75,1,0,1463642951,2016-05-19 07:29:11,2016-05-19 07:39:45,0000-00-00 00:00:00,100,136,169,197,230,318,376,448,538,403,634,607,578,512,344,283,256
47,0,0,31,3753697,-77,241,-99,-66,am5an29,2,3,3,3,3,5,2,2,3,3,1,3,4,3,3,3,2,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,4,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.10240",https://outlook.live.com/,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,"3753655,3753656,3753657,3753660,3753663,3770555,3770529,3753672,3770522,3770522,3770522,3753676,3753676,3753676,3770317,3753681,3770463,3753687,3770450,3770446,3770419,3753697",1,0,0,13,2100,0419d803ed97751da8e2b0417ce0821a,1,0,1463748012,2016-05-20 12:40:12,2016-05-20 12:44:13,0000-00-00 00:00:00,14,50,88,106,120,156,184,203,218,195,241,231,224,212,167,141,131
