subjid;FHAvalnHitTrialsRp;FHAvalnOmissionTrialsRp;FHAvalnFPTrialsRp;FANvalnHitTrialsRp;FANvalnOmissionTrialsRp;FANvalnFPTrialsRp;FHAinvalnHitTrialsRp;FHAinvalnOmissionTrialsRp;FHAinvalnFPTrialsRp;FANinvalnHitTrialsRp;FANinvalnOmissionTrialsRp;FANinvalnFPTrialsRp
VP01;79;3;2;73;6;3;21;3;3;20;1;0
VP02;45;26;31;42;29;34;20;2;5;17;4;4
VP04;80;0;0;75;4;1;20;0;0;20;0;0
VP24;52;1;27;68;0;12;11;2;9;18;0;2
VP06;80;0;0;78;0;2;20;0;0;20;0;0
VP07;43;3;34;56;2;22;12;0;8;18;0;2
VP08;80;0;0;80;0;0;20;0;0;20;0;0
VP09;80;0;0;80;0;0;20;0;0;20;0;0
VP12;53;16;11;51;6;23;17;1;3;11;4;5
VP13;80;0;0;80;0;0;20;0;0;20;0;0
VP14;76;1;3;61;5;14;19;0;1;16;2;2
VP15;33;40;7;41;32;7;5;10;15;9;7;4
VP16;53;8;19;55;6;19;14;2;6;14;3;3
VP17;80;0;0;80;0;0;20;0;0;20;0;0
VP18;78;0;2;80;0;0;20;0;0;19;0;1
VP19;80;0;0;80;0;0;19;0;1;20;0;0
VP20;80;0;0;80;0;0;20;0;0;20;0;0
VP21;48;3;29;59;0;21;9;0;11;11;0;9
VP22;80;0;0;80;0;0;20;0;0;20;0;0
VP23;49;2;29;45;1;34;12;1;8;14;0;6
VP25;75;3;2;30;4;46;19;1;1;5;3;12
VP26;50;34;17;33;34;36;12;10;11;8;8;7
VP27;75;0;5;60;0;20;20;0;0;15;0;5
VP28;36;7;37;52;10;18;10;1;10;10;4;6
VP29;79;1;0;74;5;1;19;0;1;19;1;0
VP30;80;0;0;80;0;0;20;0;0;20;0;0
VP31;79;0;1;80;0;0;20;0;0;20;0;0
VP32;72;8;0;36;8;36;19;1;1;10;0;10
VP33;80;0;0;79;1;0;20;0;0;20;0;0
VP35;45;28;7;23;38;19;14;3;6;7;6;7
VP37;78;0;2;79;0;1;19;0;1;20;0;0
VP38;35;15;30;48;11;21;9;4;11;13;2;5
VP39;80;0;0;80;0;0;20;0;0;19;0;1
VP40;80;0;0;79;0;1;20;0;0;20;0;0
VP41;61;4;15;50;15;15;17;1;3;15;3;2
VP42;67;6;7;56;6;18;16;3;4;14;1;5
VP43;80;0;0;76;0;4;19;0;1;20;0;0
VP44;79;0;1;72;5;3;20;0;0;20;0;0
VP45;59;5;16;23;4;53;14;1;6;6;1;13
VP46;41;36;3;29;28;23;15;3;5;8;8;4
